compound_lemma	compound_surface	compound_lemmapos	headLemma	modifierLemma	nAnnot	avgHead	stdevHead	avgModifier	stdevModifier	compositionality	stdevHeadModifier	equivalents
amigo_secreto	amigo_secreto	amigo/n_secreto/a	amigo	secreto	29	3.3103	1.1371	4.0690	1.0327	3.1034	1.1447	amigo oculto(21);amigo invisível(4);jogo(3);amigo x(3);amigo(2);amigo escondido(2);amigo sorteado(2);fim de ano(2);parceiro em evento amigável(1);pessoa sorteada ão acaso(1);colega(1);amio que não se sabe quem é(1);ganhador de presente(1);brincadeira para datas comemorativas(1);amigo discreto(1);amigo sorteado para o qual se dará um presente(1);a(1);confraternização(1);amigo desconhecido(1);brincadeira(1);pessoa desconhecida(1);escolhido pelo jogo(1);chara(1);recebedor/doador de presente(1);escohido para dar presente(1);jogo de presentes(1);pessoa misteriosa(1);s(1);presentear(1);amigo da onça(1);evento a fim de proporcionar interação entre um grupo de amigos(1)
amor_próprio	amor_próprio	amor/n_próprio/a	amor	próprio	36	3.9167	1.2277	4.6111	0.6449	3.9444	1.0405	auto estima(13);orgulho(6);amor por si mesmo(5);autoestima(5);amar a si mesmo(3);vaidade(3);dignidade(2);gostar de si mesmo(2);auto confiança(2);aceitação(2);ego(2);autorespeito(2);auto estima evelada(1);afeto proprio(1);amor para si mesmo(1);altivez(1);egoismo do bem(1);auto aceitação(1);se amar(1);apreço a si mesmo(1);autovalorização(1);envaidecimento(1);amor a si(1);aceitação pessoal(1);autorrespeito(1);consideração(1);amar a mim(1);respeitar a própria decisão(1);gostar de si(1);dignidade própria(1);autocompaixão(1);auto confianca(1);estar seguro de si(1);auto suficiencia(1);amar a si(1);a(1);compaixão(1);auto valorização(1);amor a si mesmo(1);respeito próprio(1);s(1);repeito proprio(1);prudência(1)
ano_novo	ano_novo	ano/n_novo/a	ano	novo	23	3.9130	1.3788	4.3913	0.7827	4.2609	0.7518	reveillon(6);virada(5);virada do ano(3);1 de janeiro(3);réveillon(3);fim de ano(3);virada de ano(2);ano bom(2);novo ano(2);final de ano(2);passagem de ano(2);feriado(2);transição de ano(1);novo ano civil começa(1);ano que está por vir(1);ano entrante(1);alegria(1);entrada(1);começo de ano(1);ano que vai começar(1);ano seguinte(1);31 de dezembro(1);a(1);ano que começou recentemente(1);festa(1);primeiro de janeiro(1);recomeço, novo ano, esperança, réveillon(1);s(1);início de ano(1)
ar_condicionado	ar_condicionado	ar/n_condicionado/a	ar	condicionado	25	2.6000	1.3844	3.6400	1.0755	2.7600	1.2675	climatizador(4);condicionador de ar(4);refrigerador de ar(3);aparelho climatizador(2);refrigerador(2);ar refrigerado(2);climatização(2);refrigerador de ambiente(2);refrigeração(2);resfriador de ar(2);resfriador(2);a/c(1);aparelho elétrico(1);condicionador de clima(1);ambiente climatizado(1);ar(1);aparelho de conforto térmico(1);climatizadores de ambiente(1);aparelho de ar condicionado(1);maquina que gela ou aquece o ambiente(1);ar fresco(1);aquecedor(1);ar artificial que é impulsionado por maquina que condiciona o ambiente(1);maquina(1);ar gelado(1);a(1);sistema de condicionamento de ar(1);cooler(1);ar climatizado artificialmente(1);aparelho condicionador de ar(1);equipamento climatizador(1);refrigeramento(1);s(1);aparelho eletrônico que regula a temperatura do ar(1);aparelho que condiciona o ar(1);aclimatizador(1);unidade de ar(1);condicionador de temperatura(1)
ar_livre	ar_livre	ar/n_livre/a	ar	livre	38	2.2368	1.7772	2.4474	1.6390	1.9737	1.6520	céu aberto(11);ar fresco(5);natureza(4);ar puro(3);ambiente aberto(3);aberto(3);rua(3);fora de casa(3);exterior(2);local aberto(2);na natureza(2);sem cobertura(2);ar limpo(2);sem teto(2);externo(2);na rua(2);para fora(1);lugar aberto(1);que não é coberto(1);extramuros(1);fora do local(1);liberdade(1);s(1);espaço externo(1);ar aberto(1);local sem cobertura(1);local próximo a natureza(1);área descoberta(1);ambiente externo(1);no exterior(1);ambiente livre(1);ao ceu aberto(1);fora(1);a(1);em lugar aberto(1);ar tranquilo(1);espaço sem estruturas(1);campo(1);ar natural(1);ao léo(1);ao aberto(1);campo aberto(1);sem coberto(1);exposto(1);externa(1)
arma_branco	arma_branca	arma/n_branco/a	arma	branca	24	4.7917	0.5090	0.2083	0.4149	0.6667	0.7614	faca(6);arma(4);arma cortante(3);arma permitida(2);espada(2);arma que não é de fogo(2);arma de corte(2);canivete(1);arma legal(1);pequena, cozinha, pouco perigo(1);arma legalizada(1);lâmina(1);facas e canivetes(1);bastão(1);armas de corte(1);arma não letal(1);bastões(1);arma lícita(1);arma de punho(1);laminas(1);mecanismo(1);canivete, faca(1);lâminas(1);arma de combate corpo a corpo(1);a(1);arma de treinamento(1);arma de combate à curta distância(1);armas potencialmente menos letais(1);arma perfurante(1);objeto usado de arma(1);arma não explosiva(1);lança(1);arma menos letal(1);s(1);armas cortantes(1);arma leve(1);objeto usado agressivamente(1);facas(1);armas perfurantes(1);armas não explosivas(1)
ato_falho	ato_falho	ato/n_falho/a	ato	falho	28	3.9643	1.0357	3.8214	1.1239	3.5714	1.2599	erro(11);engano(7);lapso freudiano(4);falha(3);equívoco(3);lapso(3);ato falhado(2);erro na fala(2);deslizes(1);erro inconsciente(1);astúcia proposital(1);engano comprometedor(1);engano revelador(1);burrice(1);mancada(1);equivoco(1);deslize(1);ação considerada errada(1);ato involuntário(1);a(1);falha involuntária(1);ação(1);falha mental(1);atoque não deu certo(1);ato ruim(1);ato a priori sem explicação(1);parapraxis(1);sinceridade não proposital(1);ação fora do contexto(1);escorregadinha(1);imperfeição(1);s(1);algo que deu errado(1);inconsciente(1);erro acidental(1)
banho_turco	banho_turco	banho/n_turco/a	banho	turco	17	4.0588	0.8269	2.1765	1.4246	2.2941	1.2632	sauna(8);banho à vapor(3);banho a vapor(3);sauna a vapor(3);banho coletivo(2);hamame(2);a(1);hanan(1);piscina(1);s(1);banho conjunto(1);banho publico(1);casa de banho(1);banho quente(1);banho de vapor(1);banho comunitário(1);banho termal(1);sáuna turca(1);hammam(1);banho(1);banho oriental(1)
batata_doce	batata_doce	batata/n_doce/a	batata	doce	30	4.7333	0.6397	4.4667	0.7303	4.3333	0.9223	batata(9);batata da terra(9);batata da ilha(6);comida(4);jatica(3);tubérculo adocicado(3);batata doce(3);ipomoea batatas(2);tubérculo(2);batata não salgada(2);batata adocicada(2);doce(2);raiz leguminosa(1);batata adoçada(1);batata baroa(1);hortaliça(1);batata açucarada(1);tuberculo comestivel doce(1);s(1);jetica(1);batatinha doce(1);batata do tipo doce(1);parte de uma planta com grandes quantidades de açúcar(1);batata adoçicada(1);vegetal(1);raiz(1);batata rosa(1);batata mais doce(1);a(1);amido(1);legume(1);planta(1);carboidrato(1);vegetal doce(1)
bebida_alcoólico	bebida_alcoólica	bebida/n_alcoólico/a	bebida	alcoólica	40	5.0000	0.0000	5.0000	0.0000	5.0000	0.0000	álcool(11);bebida(11);trago(7);bebida com álcool(5);drink(5);cerveja(4);bira(3);bebida etílica(3);birita(3);bebida com teor alcoólico(2);bebida proibida para menores(2);destilado(2);aguardente(2);líquido(2);alcool(2);bebida fermentada ou destilada(1);depressivo(1);goró(1);ácool(1);bebida que contém álcool(1);bebida com alcool(1);cachaça(1);álcohol(1);alcool na bebida(1);destilados(1);bebidas que contêm ácool(1);alcoól(1);bebida embriagante(1);bebida de álcool(1);bebida que possui álcool em sua composição(1);alcool etilico(1);drink alcoólico(1);líquidos alcoólicos(1);entorpecente(1);bebida feita de álcool(1);a(1);bebda com alcool(1);bebida alcoolizada(1);bebidas com alcoól(1);bebida que leva álcool(1);s(1);mistura homogênia(1)
bode_expiatório	bode_expiatório	bode/n_expiatório/a	bode	expiatório	33	0.1212	0.3314	1.9697	1.7045	0.4545	0.7538	culpado(7);laranja(4);espião(3);acusado(3);distração(2);vítima(2);costas largas(2);falso culpado(2);injustamente acusado(1);quem é culpado por algo(1);cristo(1);culpado falsamente(1);cúmplice(1);aparente culpado(1);alvo da culpa(1);pessoa a ser culpada(1);acusado falsamente(1);cara da queda(1);culpado por algo que não fez(1);quem recebe a culpa(1);alguém para culpar(1);causa do problema(1);aquele que leva a culpa(1);leva culpa alheia(1);vitima(1);acusado inocente(1);que recebe a culpa(1);pessoa culpada(1);quem leva a culpa(1);quem leva todo a culpa(1);desculpa(1);culpado que é inocente(1);algo ou alguém que recebe a culpa(1);meio(1);azazel(1);pessoa que leva toda a culpa(1);colocar a culpa em alguém(1);rota de fuga(1);injustiçado(1);responsável(1);abusado(1);coitado(1);ondem são observados(1);pessoa sobre qual recai a culpa alheia(1);responsabilizado(1);culpado ideal(1);injustiça(1);inocente que leva a culpa(1);traiçoeiro(1);alvo(1);falsamente culpado(1);acusado injustamente(1)
braço_direito	braço_direito	braço/n_direito/a	braço	direito	36	0.5000	0.7368	0.4722	0.6964	0.5556	0.7346	ajudante(13);pessoa de confiança(11);assistente(5);companheiro(3);melhor amigo(3);segundo em comando(2);amigão(1);que esta sempre ajudando(1);ajudador idôneo(1);pessoa disponível(1);maior ajudante(1);companheiro fiel(1);pessoa que ajuda(1);pessoa indispensável para as atividades de alguem(1);melhor ajudante(1);amigo leal(1);pessoa leal(1);grande amigo(1);assecla(1);leal(1);fortaleza(1);maior amigo(1);amigo íntimo(1);assessor(1);a(1);homem de confiança(1);confiável(1);pessoa fiel(1);confidente(1);ajudante leal(1);auxiliar(1);ajudantes(1);amigo fiel(1);chegado(1);primeiro imediato(1);sócio(1);chara(1);principal ajudador(1);maior aliado(1);pessoa instrumental para um líder(1);ajudante principal(1);pessoa confiável(1);s(1);pessoa mais confiável(1);amigo confiavel(1)
buraco_negro	buraco_negro	buraco/n_negro/a	buraco	negro	17	2.9412	1.2485	3.3529	0.8618	2.7647	0.7524	vortex(2);singularidade(2);buraco preto(2);singularidade gravitacional(1);distorção no espaço tempo(1);campo gravitacional fortíssimo(1);buraco que suga tudo(1);região do espaço(1);buraco nulo(1);fenômenos astronômicos(1);buraco anti matéria(1);buraco escuro(1);galáxia(1);estrela gigante morta(1);corpo cósmico(1);grande força gravitacional(1);objeto massivo(1);s(1);campo gravitacional(1);região(1);astro(1);cavidade negra(1);cavidade(1);ponto de alta gravidade(1);a(1);orifício negro(1);nebulosa(1);fenômeno físico que ocorre no espaço(1);fenômenos espaciais(1);buraco espacial(1);buraco de minhoca(1);horizonte de eventos(1);buraco no espaço(1);buraco sem fim(1)
café_colonial	café_colonial	café/n_colonial/a	café	colonial	34	2.8529	0.9577	3.2353	1.3720	2.7353	0.8279	café da manhã(6);refeição(4);café da colônia(4);comida colonial(3);café tradicional(2);refeição farta(2);comida(2);lanche(2);café(2);lanche completo(1);café com variedades(1);padaria da colônia(1);restaurante de comida abundante(1);café tradicional da culinária alemã(1);refeição colonial(1);refeição com muitas opções(1);refeição abundante(1);refeição farta ão estilo da colônia(1);café especial(1);lanche requintado(1);tipo de refeição semelhante aquelas feitas na colonia(1);comida de colônia(1);café completo(1);café da colonia(1);s(1);café da manhã chique(1);refeição com pratos típicos(1);café da manhã com comida de natureza colonial(1);muita comida alemã(1);fartura de comida(1);comida típica(1);a(1);buffet livre(1);refeição com alimentos de tradição colonial(1);café artesanal(1);café ná serra(1);café da manhã farto(1);café da tarde(1);cafe da colonia(1);lanche colonial(1);comida de fazenda(1);café do interior(1);café almoço(1);rango paca(1);fartura(1);banquete(1);cafe do interior(1);restaurante(1);café da manhã recheado(1);refeição farta, com muitas comidas e bebidas, como no interior(1);refeição alemã(1);café abastado(1);café farto(1);comida tradicional(1);lanche abundante de comidas coloniais(1);comlilança(1)
caixa_forte	caixa_forte	caixa/n_forte/a	caixa	forte	22	3.3636	0.8477	3.5455	1.0108	3.2273	0.8125	cofre(16);baú(3);cofre forte(2);caixa(2);caixa segura(2);cofre de segurança máxima(1);compartimento seguro(1);equipamento expecifico para armazenagem de documentos, dinheiro e objetos de alto valor(1);recinto extremamente seguro(1);banco(1);local seguro(1);proteção(1);caixa blindada(1);compartimento fortificado(1);blindado(1);cofre gigante(1);caixa protegida(1);cofre super resistente(1);caixinha(1);cofre grande(1);caminhão cofre(1);caixa resistente(1);cofre reforçado(1);a(1);armário blindado(1);cofre blindado(1);envolucro resistente(1);s(1);cofre mais seguro(1);tesouro(1)
caixa_preto	caixa_preta	caixa/n_preto/a	caixa	preta	17	1.7059	1.5315	0.4118	0.7123	0.9412	0.9663	segredo(3);mistério(2);segredos(2);registro(2);gravador(2);conteiner(1);caixa de informações(1);sistema fechado(1);assuntos íntimos(1);caixa de segredo(1);sistema de registro de voz e dados(1);análise(1);caixa oculta(1);esquema escuso(1);registro de cabine(1);caixa laranja(1);avião(1);cofre forte(1);sistema opaco(1);dispositivo que contém informações(1);sistema(1);armazenamento de segredo(1);registros do avião(1);a(1);caixa que guarda as conversas de rádio entre a tripulação de um avião(1);coisas escondidas(1);modo de pensamento(1);arquivos(1);gravador que fica em um avião(1);s(1);cofres(1);mistérios(1);cofre(1)
caixeiro_viajante	caixeiro_viajante	caixeiro/n_viajante/a	caixeiro	viajante	23	2.9565	1.7446	4.6522	0.4870	3.5217	1.6200	vendedor ambulante(9);comerciante(4);mascate(4);vendedor(3);mercador(2);viajante(2);representante comercial(2);comerciante itinerante(1);vendedor viajante(1);comerciante andarilho(1);representante de vendas(1);vendedor de porta em porta(1);vendedor itinerante(1);vendedor que leva produtos a outras regiões(1);transportador de items(1);vendedor nômade(1);comerciante sem ponto fixo(1);cameló(1);mercador ambulante(1);vendedor de produtos diversos(1);caixeiro visitante(1);comerciante nômade(1);a(1);vendedor de cidade em cidade(1);caixeiro que viaja(1);mochileiro(1);transportador viajante(1);s(1);vendedor a domicílio(1);homem de vendas(1)
carne_branco	carne_branca	carne/n_branco/a	carne	branca	26	5.0000	0.0000	2.6923	1.5942	3.0000	1.4422	carne de peixe(10);carne de frango(7);carne não bovina(4);carne(3);carne de aves e peixes(3);carne de porco(3);frango(2);carne de galinha(2);carne de ave(2);carne sem sangue vermelho(2);peixe(2);carne de caprinos(1);carne com baixa concentração de mioglobina(1);frutos do mar(1);carne leve(1);carne esbranquiçada(1);carnes magras(1);carne de aves(1);a(1);carne que tem cor branca(1);sem ser bovina(1);carne magra(1);carne de aves ou peixes(1);alimento(1);s(1);carne de galinha, de peixe(1);carne de cor esbraquiçada(1)
carne_vermelho	carne_vermelha	carne/n_vermelho/a	carne	vermelha	36	4.9444	0.2323	3.4444	1.0541	3.6667	0.8281	carne bovina(15);carne de gado(10);carne de boi(8);carne(6);carne de vaca(6);carne de mamíferos(3);carne com sangue vermelho(2);carne de ovelha(2);carne de frango(1);bovina(1);carne bovina e ovina(1);carne dos mamiferos(1);de boi(1);carne de mamífero(1);carne de cor vermelha(1);a(1);carne proveniente dos mamíferos(1);carne proveniente das vacas(1);carde de boi(1);proteína animal(1);carne obtida de mamíferos(1);carne de churrasco(1);carne de boi ou vaca(1);carne de gado, porco, ovelha, carneiro(1);carne de bovinos(1);carne que vem do gado(1);carne não branca(1);s(1);carne de animais específicos(1);carne gordurosa(1);carne de porco(1);carne de origem animal(1)
carro_forte	carro_forte	carro/n_forte/a	carro	forte	27	4.8519	0.3620	2.6667	1.4676	2.7037	1.5396	carro blindado(16);blindado(2);carro seguro(2);carro a prova de balas(2);veículo blindado(1);automóvel fortificado(1);segurança(1);carro de coleta(1);carro muito seguro(1);veiculo especifico para transporte de valores(1);pesado(1);carros seguros(1);carro(1);carro de segurança(1);caveirão(1);blindado, segurança, dinheiro, banco(1);veiculo blindado, normalmente operado por pessoas armadas, que transporta documentos, dinheiros os obejtos de alto valor(1);veículo especial de transporte de valores(1);carro resistente(1);transporte de grandes quantias(1);automóvel de transporte blindado(1);veiculo forte(1);carro com forte blindagem(1);veículo blindado para transporte de valores(1);carro para transporte de altos valores(1);transporte blindado(1);carro de banco(1);carro equipado para segurança(1);transportador blindado(1);carro cofre(1);furgão(1);automovel de transporte de valores(1);a(1);transporte de bens valiosos(1);s(1);carro protegido(1);carro blíndado(1);transporte seguro(1);cofre(1);transporte de valores(1)
carta_aberto	carta_aberta	carta/n_aberto/a	carta	aberta	23	3.7391	1.2142	3.5652	1.1995	3.6957	1.0632	carta pública(5);carta(4);comunicado(3);texto(2);denúncia(2);carta livre(2);aviso(2);carta exposta(1);artigo de jornal(1);declaração ão público(1);reportagem(1);apelo textual(1);manifesto(1);carta para todos(1);declaração(1);texto público(1);mensagem pública(1);carta comunitária(1);carta divulgada(1);carta publica(1);opinião(1);texto dirigido(1);posicionamento(1);carta que todos podem ler(1);carta que fala abertamente para o público(1);transparência(1);carta transparente(1);comunicado de ampla divulgação(1);público(1);a(1);artigo(1);carta escrita para ser lida em público(1);pronunciamento ão público(1);anuncio de interesse publico(1);s(1);anúncio(1);comunicação(1);texto para todos(1)
centro_comercial	centro_comercial	centro/n_comercial/a	centro	comercial	29	3.3793	1.3993	4.7931	0.4123	3.8276	1.1973	shopping(13);shopping center(6);centro de compras(5);centro de comércio(4);galeria(3);mercado(3);lojas(2);local de compras(2);local com varias lojas(1);área de compras(1);mercados(1);centro de vendas(1);núcleo de lojas(1);comércio(1);conjuntos comerciais(1);zonas comerciais(1);lugar de comprar(1);galeria comercial(1);mercadão(1);centro(1);centro em que comércio é realizado(1);centro mercante(1);lojas comerciais(1);a(1);conjuntos de lojas(1);prédio comercial(1);agrupamento de negócios que oferecem produtos ou serviços(1);lugar com comércio(1);varejo(1);local onde se agrupam diversas formas de comércio(1);compras(1);s(1);polo de comercio(1);local com alta densidade de lojas(1)
centro_espírita	centro_espírita	centro/n_espírita/a	centro	espírita	29	3.1034	1.4963	4.1724	1.0025	3.4828	1.2427	centro religioso(5);igreja(4);templo(3);centro de espiritismo(2);casa espírita(2);templo espirita(2);religião(2);lugar espírita(2);casa de cultos(1);entidade religiosa(1);igreja espirita(1);centro para estudo e prática da religião espírita(1);terreiro(1);local espírita(1);local de estudo e prática da religião espirita(1);religião espírita(1);lugar de culto espírita(1);reunião espíritual(1);terreiro de cerimônias espíritas(1);local das cerimônias espíritas(1);templo de espiritas(1);s(1);lugar de prática oculta(1);casa de espiritismo(1);entidade espírita(1);centro de espíritas(1);instituição seguidora do espiritismo(1);centro kardecista(1);centro de estudos crísticos(1);lugar para prática do espiritismo(1);espiritismo(1);local de prática do espiritismo(1);centro(1);templo espírita(1);centro de atividade espírita(1);comunidade de espiritas(1);lugar de doutrina espírita(1);casa de amor fraterno(1);casa da 3a revelação(1);grupo espírita(1);a(1);doutrina(1);sociedade espírita(1);local de culto(1);centro mediúnico(1);local espirita(1);lugar onde é praticado o espiritismo(1);casa de espíritos(1);local onde se pratica o espiritismo(1);centro de espiritos(1)
cerca_vivo	cerca_viva	cerca/n_vivo/a	cerca	viva	34	3.9706	0.9996	4.0588	0.9516	3.6176	1.0735	cerca de plantas(12);cerca natural(5);arbusto(5);muro de plantas(4);plantas(4);cerca verde(3);tapume(2);sebe(2);parede de plantas(2);cerca(2);muro(1);cerca de arbustos(1);cerca com plantas(1);cercamento vegetal(1);cerca vegetal(1);vegetação(1);barreira natural(1);separação(1);divisão de plantas(1);muro vivo(1);trepadeira(1);canteiro de arvores(1);cercamento verde(1);cerca nativa(1);sebe viva(1);s(1);cerca de espinho(1);divisão com plantas(1);folhagens(1);muro vegetal(1);cerca feita de plantas(1);linhas de arbustos(1);a(1);cerca coberta de plantas(1);cerca de árvores(1);certa com vida(1);parede verde(1);cerca não de madeira(1);planta(1);jardinagem(1);linhas de arbusto(1);arbusto que barra a passagem(1);vegetação plantada imitando uma cerca(1)
