WorkerId	ID	Input.compound	Answer.Qhead	Answer.Qmodifier	Answer.Qheadmodifier	equivalents	Input.noun	Input.modifier	Input.nounlemma	Input.modifierlemma	Input.order	AssignmentStatus
alvesvic300010	152	salão paroquial	2	2	2	ambiente utilizado para atividade da igreja católica - local de realizações de comemorações católicas 	salão	paroquial	salão	paroquial	NA	Approved
alvesvic300010	156	secretária eletrônica	1	0	4	dispositivo utilizado para enviar mensagens que serão posteriormente ouvidas  - máquina que recebe mensagens e repassa	secretária	eletrônica	secretário	eletrônico	NA	Approved
alvesvic300010	157	segundas intenções	2	2	2	desejo não referente ao tópico em questão  - interesses não focados em assuntos principais 	intenções	segundas	intenção	segundo	AN	Approved
alvesvic300010	163	sistema político	2	1	2	forma de governo de um país - maneira de reger uma federação	sistema	político	sistema	político	NA	Approved
alvesvic300010	168	terceira idade	2	2	2	faixa etária mais avançada  - parcela da população referente aos idosos	idade	terceira	idade	terceiro	AN	Approved
alvesvic300010	172	trabalho escravo	3	5	4	atividade árdua sem recompensa - trabalho não remunerado	trabalho	escravo	trabalho	escravo	NA	Approved
alvesvic300010	174	vinho branco	2	2	2	tipo de vinho - tipo de vinho oriundo de uma uva específica	vinho	branco	vinho	branco	NA	Approved
alvesvic300010	175	vinho tinto	3	3	3	tipo de bebida alcoólica  - variação de um vinho	vinho	tinto	vinho	tinto	NA	Approved
alvesvic300010	176	vista grossa	1	1	1	investigação detalhada - investigação profunda 	vista	grossa	vista	grosso	NA	Approved
alvesvic300010	180	voto secreto	2	2	2	forma de votação que visa transparência - voto transparente 	voto	secreto	voto	secreto	NA	Approved
alvesvic443186	3	agente secreto	3	3	3	dirigente - procurador	agente	secreto	agente	secreto	NA	Approved
alvesvic443186	5	água mineral	5	5	5	Com adição de componentes - Origem natural	água	mineral	água	mineral	NA	Approved
alvesvic443186	6	alarme falso	2	2	2	Engano - Informação equivocada	alarme	falso	alarme	falso	NA	Approved
alvesvic443186	8	alta temporada	2	0	0	Janeiro, fevereiro, julho e dezembro - Período de férias	temporada	alta	temporada	alto	AN	Approved
alvesvic443186	11	alto-falante	2	0	1	Aparelho - Reproduz ondas acústicas	falante	alto	falante	alto	AN	Approved
alvesvic443186	13	amigo secreto	4	2	3	amigo oculto - brincadeira para datas comemorativas 	amigo	secreto	amigo	secreto	NA	Approved
alvesvic443186	14	amor-próprio	3	3	4	aceitação - amar a si mesmo	amor	próprio	amor	próprio	NA	Approved
alvesvic443186	15	ano-novo	5	5	5	Réveillon - um novo ano civil começa	ano	novo	ano	novo	NA	Approved
alvesvic443186	18	arma branca	5	0	1	Mecanismo  - Objeto usado agressivamente	arma	branca	arma	branco	NA	Approved
alvesvic443186	19	ato falho	4	4	4	erro na fala - lapso	ato	falho	ato	falho	NA	Approved
alvesvic443186	21	batata-doce	1	4	2	Alimento - Tipo de raíz	batata	doce	batata	doce	NA	Approved
alvesvic443186	25	buraco negro	3	3	3	campo gravitacional fortíssimo  - região do espaço 	buraco	negro	buraco	negro	NA	Approved
alvesvic443186	26	café colonial	0	3	2	alimento alemão  - refeição tradicional	café	colonial	café	colonial	NA	Approved
alvesvic443186	28	caixa-preta	0	0	0	dispositivo que contém informações - sistema de registro de voz e dados 	caixa	preta	caixa	preto	NA	Approved
alvesvic443186	29	caixeiro viajante	1	3	0	 profissão antiga - vendedor 	caixeiro	viajante	caixeiro	viajante	NA	Approved
alvesvic443186	35	centro comercial	2	5	3	shopping center - varejo	centro	comercial	centro	comercial	NA	Approved
alvesvic443186	37	cerca viva	4	1	0	cercado de plantas - tipo de vegetação	cerca	viva	cerca	vivo	NA	Approved
alvesvic443186	42	círculo virtuoso	1	1	1	Acontecimentos positivos - Série de bons ocorridos	círculo	virtuoso	círculo	virtuoso	NA	Approved
alvesvic443186	44	colégio militar	5	3	3	escola regida por militares - instituição de ensino	colégio	militar	colégio	militar	NA	Approved
alvesvic443186	48	conta-corrente	5	2	3	conta à ordem - depósito	conta	corrente	conta	corrente	NA	Approved
alvesvic443186	49	coração partido	0	0	0	Decepcionado - Traído	coração	partido	coração	partido	NA	Approved
alvesvic443186	50	corda bamba	1	3	3	 situação instável - Situação de risco	corda	bamba	corda	bambo	NA	Approved
alvesvic443186	52	curto-circuito	1	0	2	fenômeno elétrico - passagem de corrente elétrica acima do normal	circuito	curto	circuito	curto	AN	Approved
alvesvic443186	54	desfile militar	3	3	3	Ato cívico - Parada de militares	desfile	militar	desfile	militar	NA	Approved
alvesvic443186	55	direitos humanos	5	3	4	direito à vida  - direito de expressão	direitos	humanos	direito	humano	NA	Approved
alvesvic443186	56	disco rígido	3	1	2	armazenador de dados - parte do computador	disco	rígido	disco	rígido	NA	Approved
alvesvic443186	57	disco voador	0	4	0	Objeto não terrestre - OVNI	disco	voador	disco	voador	NA	Approved
alvesvic443186	59	elefante branco	0	0	0	algo valioso - sem utilidade	elefante	branco	elefante	branco	NA	Approved
alvesvic443186	61	estrela cadente	3	3	3	corpo celeste - fenômeno natural	estrela	cadente	estrela	cadente	NA	Approved
alvesvic443186	62	exame clínico	5	5	5	Investigação - pesquisa	exame	clínico	exame	clínico	NA	Approved
alvesvic443186	65	febre amarela	5	1	0	Doença - Efemeridade 	febre	amarela	febre	amarelo	NA	Approved
alvesvic443186	66	ficha limpa	0	0	1	Honesto - Sem crimes	ficha	limpa	ficha	limpo	NA	Approved
alvesvic443186	68	fio condutor	5	4	5	dispositivo eletrônico - mecanismo para circuitos	fio	condutor	fio	condutor	NA	Approved
alvesvic443186	70	gatos-pingados	0	0	0	Número reduzido - Pouca quantidade	gatos	pingados	gato	pingado	NA	Approved
alvesvic443186	73	governo federal	5	5	5	autoridade máxima do país - união	governo	federal	governo	federal	NA	Approved
alvesvic443186	74	gripe aviária	5	3	2	Doença - Vírus Influenza	gripe	aviária	gripe	aviário	NA	Approved
alvesvic443186	76	guarda-florestal	4	4	4	Fiscalização das florestas  - Polícia florestal	guarda	florestal	guarda	florestal	NA	Approved
alvesvic443186	78	juízo final	3	4	4	 Último acontecimento  - Julgamento	juízo	final	juízo	final	NA	Approved
alvesvic443186	79	leite integral	4	4	4	Alimento  - Leite calórico	leite	integral	leite	integral	NA	Approved
alvesvic443186	82	livro aberto	0	0	0	Sem segredos - Ser do conhecimento de todos o que se faz	livro	aberto	livro	aberto	NA	Approved
alvesvic443186	85	lua cheia	5	3	4	Fase lunar - Totalidade da Lua	lua	cheia	lua	cheio	NA	Approved
alvesvic443186	87	lugar-comum	1	1	2	 Estereótipo  - Trivialidade	lugar	comum	lugar	comum	NA	Approved
alvesvic443186	88	má-fé	1	1	1	Decepção - Fraude	fé	má	fé	mau	AN	Approved
alvesvic443186	91	máquina virtual	1	4	3	simulador - software	máquina	virtual	máquina	virtual	NA	Approved
alvesvic443186	92	mar aberto	2	1	1	possui ligação direta com o oceano - sem direção	mar	aberto	mar	aberto	NA	Approved
alvesvic443186	93	maré alta	3	2	1	Maré cheia - Preamar	maré	alta	maré	alto	NA	Approved
alvesvic443186	94	maré baixa	5	5	5	Baixa-mar - maré vazia	maré	baixa	maré	baixo	NA	Approved
alvesvic443186	95	massa cinzenta	4	4	1	Componente do sistema nervoso central - Parte do cérebro	massa	cinzenta	massa	cinzento	NA	Approved
alvesvic443186	97	mau-humor	4	4	4	Irritação - Nervosismo	humor	mau	humor	mau	AN	Approved
alvesvic443186	98	mau-olhado	1	1	1	Olho gordo - Transmite azar	olhado	mau	olhado	mau	AN	Approved
alvesvic443186	102	navio negreiro	5	1	2	Barco que transportava escravos - Meio de transporte	navio	negreiro	navio	negreiro	NA	Approved
alvesvic443186	103	nó cego	0	0	0	mal pagador - Pessoa enrolada	nó	cego	nó	cego	NA	Approved
alvesvic443186	104	novo mundo	1	3	2	Lugar de novas esperanças - Recomeçar	mundo	novo	mundo	novo	AN	Approved
alvesvic443186	107	olho gordo	0	0	0	Azar - Inveja	olho	gordo	olho	gordo	NA	Approved
alvesvic443186	108	olho mágico	0	0	0	Dispositivo de segurança - Observar quem chega	olho	mágico	olho	mágico	NA	Approved
alvesvic443186	109	olho nu	0	3	3	nÃO PERCEPTÍVEL - Sem instrumentos ópticos	olho	nu	olho	nu	NA	Approved
alvesvic443186	110	ônibus executivo	4	4	4	Meio de transporte confortável - Veículo 	ônibus	executivo	ônibus	executivo	NA	Approved
alvesvic443186	112	pão-duro	0	0	0	Mão de vaca - Mesquinho	pão	duro	pão	duro	NA	Approved
alvesvic443186	113	papel higiênico	4	4	4	Papel absorvente - Papel Fino	papel	higiênico	papel	higiênico	NA	Approved
alvesvic443186	117	pavio curto	0	0	0	Pouco paciente - sem tolerância	pavio	curto	pavio	curto	NA	Approved
alvesvic443186	119	pé-direito	0	0	0	 distância do pavimento ao teto - usada em arquitetura	pé	direito	pé	direito	NA	Approved
alvesvic443186	121	pente fino	0	0	0	analisar cuidadosamente  - procurar	pente	fino	pente	fino	NA	Approved
alvesvic443186	123	planta baixa	0	0	0	desenho de uma construção  - processo inicial para construção 	planta	baixa	planta	baixo	NA	Approved
alvesvic443186	124	poção mágica	3	3	2	 Bebida - Cura	poção	mágica	poção	mágico	NA	Approved
alvesvic443186	125	pólo-aquático	0	0	0	esporte olímpico  - esporte praticado na piscina	pólo	aquático	pólo	aquático	NA	Approved
alvesvic443186	128	ponto fraco	3	3	3	fraqeuza - tendão de Aquiles 	ponto	fraco	ponto	fraco	NA	Approved
alvesvic443186	130	primeira infância	4	4	4	Cinco primeiros anos - Primeiros anos de vida	infância	primeira	infância	primeiro	AN	Approved
alvesvic443186	131	primeira mão	0	0	0	De imediato - Diretamente da fonte	mão	primeira	mão	primeiro	AN	Approved
alvesvic443186	132	primeira necessidade	5	4	5	Necessário  - Vital	necessidade	primeira	necessidade	primeiro	AN	Approved
alvesvic443186	134	primeiro ministro	5	5	5	cargo político - ministro principal	ministro	primeiro	ministro	primeiro	AN	Approved
alvesvic443186	135	primeiro plano	5	5	5	À mostra - Prioridade	plano	primeiro	plano	primeiro	AN	Approved
alvesvic443186	137	processo seletivo	4	5	5	Escolha - Seleção	processo	seletivo	processo	seletivo	NA	Approved
alvesvic443186	140	quadro-negro	5	3	4	Lousa - Quadro 	quadro	negro	quadro	negro	NA	Approved
alvesvic443186	143	rede social	1	1	2	Blog - Microblog	rede	social	rede	social	NA	Approved
alvesvic443186	145	relógio analógico	4	5	5	Marcador de tempo - Relógio de ponteiros	relógio	analógico	relógio	analógico	NA	Approved
alvesvic443186	146	relógio biológico	0	4	0	função vital - mecanismo do corpo humano	relógio	biológico	relógio	biológico	NA	Approved
alvesvic443186	148	roda gigante	0	3	3	Brinquedo infantil - Equipamento para diversão	roda	gigante	roda	gigante	NA	Approved
alvesvic443186	149	roleta russa	0	0	0	confusão - Furdúncio	roleta	russa	roleta	russo	NA	Approved
alvesvic443186	156	secretária eletrônica	0	4	3	atendedor de chamadas - dispositivo eletrônico	secretária	eletrônica	secretário	eletrônico	NA	Approved
alvesvic443186	157	segundas intenções	5	4	4	Interesse - Não revelado	intenções	segundas	intenção	segundo	AN	Approved
alvesvic443186	160	sétima arte	4	0	0	Cinema - Cinematografia	arte	sétima	arte	sétimo	AN	Approved
alvesvic443186	165	tartaruga-marinha	5	5	5	Réptil  - tartaruga que vive no mar	tartaruga	marinha	tartaruga	marinho	NA	Approved
alvesvic443186	166	tela plana	5	5	5	LCD - tela fina	tela	plana	tela	plano	NA	Approved
alvesvic443186	167	tempo real	1	4	1	Agora - Presente	tempo	real	tempo	real	NA	Approved
alvesvic443186	169	terceira pessoa	2	2	2	Mensagem - Referente	pessoa	terceira	pessoa	terceiro	AN	Approved
alvesvic443186	171	trabalho braçal	5	5	5	Trabalho físico - Utiliza o próprio corpo	trabalho	braçal	trabalho	braçal	NA	Approved
alvesvic443186	172	trabalho escravo	5	3	2	privação de liberdade  - trabalho degradante	trabalho	escravo	trabalho	escravo	NA	Approved
alvesvic443186	173	vaca louca	0	0	0	doença - encefalopatia espongiforme bovina	vaca	louca	vaca	louco	NA	Approved
alvesvic443186	174	vinho branco	5	0	0	tipo específico de vinho  - vinho sem casca da uva	vinho	branco	vinho	branco	NA	Approved
alvesvic443186	179	vôo internacional	3	3	3	viagem a outro país - viagem de avião	vôo	internacional	vôo	internacional	NA	Approved
alvesvic443186	180	voto secreto	5	5	5	Escolha secreta - Voto anônimo	voto	secreto	voto	secreto	NA	Approved
azevedo-410116	2	acampamento militar	5	5	5	abarracamento militar - aquartelamento militar	acampamento	militar	acampamento	militar	NA	Approved
azevedo-410116	3	agente secreto	5	5	3	espia - espião	agente	secreto	agente	secreto	NA	Approved
azevedo-410116	5	água mineral	5	4	3	agua integral - agua natural	água	mineral	água	mineral	NA	Approved
azevedo-410116	8	alta temporada	5	3	2	alta estação - boa fase	temporada	alta	temporada	alto	AN	Approved
azevedo-410116	10	alto mar	5	2	1	largo - longe da costa	mar	alto	mar	alto	AN	Approved
azevedo-410116	14	amor-próprio	5	5	3	auto estima - orgulho	amor	próprio	amor	próprio	NA	Approved
azevedo-410116	15	ano-novo	5	5	5	feriado - réveillon	ano	novo	ano	novo	NA	Approved
azevedo-410116	17	ar livre	5	3	4	ar aberto - ar natural	ar	livre	ar	livre	NA	Approved
azevedo-410116	18	arma branca	5	2	1	faca - martelo	arma	branca	arma	branco	NA	Approved
azevedo-410116	21	batata-doce	5	1	3	batata inglesa - batata rosa	batata	doce	batata	doce	NA	Approved
azevedo-410116	24	braço direito	0	3	0	melhor amigo - segundo em comando	braço	direito	braço	direito	NA	Approved
azevedo-410116	25	buraco negro	5	2	3	singularidade - vortex	buraco	negro	buraco	negro	NA	Approved
azevedo-410116	29	caixeiro viajante	3	4	2	mascate - mercador ambulante	caixeiro	viajante	caixeiro	viajante	NA	Approved
azevedo-410116	36	centro espírita	3	5	4	igreja espirita - templo espirita	centro	espírita	centro	espírita	NA	Approved
azevedo-410116	37	cerca viva	3	5	4	muro - tapume	cerca	viva	cerca	vivo	NA	Approved
azevedo-410116	38	céu aberto	5	2	3	abóbada celeste - firmamento	céu	aberto	céu	aberto	NA	Approved
azevedo-410116	40	circuito integrado	5	4	3	chip - microchip	circuito	integrado	circuito	integrado	NA	Approved
azevedo-410116	41	círculo vicioso	3	2	1	ciclo vicioso - circulo sem fim	círculo	vicioso	círculo	vicioso	NA	Approved
azevedo-410116	42	círculo virtuoso	5	3	4	ciclo benefico - ciclo virtuoso	círculo	virtuoso	círculo	virtuoso	NA	Approved
azevedo-410116	43	classe executiva	4	1	2	alta classe - classe rico	classe	executiva	classe	executivo	NA	Approved
azevedo-410116	44	colégio militar	5	5	5	educandário militar - escola militar	colégio	militar	colégio	militar	NA	Approved
azevedo-410116	46	comida caseira	5	4	3	comida de casa - comida de familia	comida	caseira	comida	caseiro	NA	Approved
azevedo-410116	47	companhia aérea	5	2	0	companhia de aviação - companhia de voo	companhia	aérea	companhia	aéreo	NA	Approved
azevedo-410116	49	coração partido	3	2	3	depressão - magoa	coração	partido	coração	partido	NA	Approved
azevedo-410116	54	desfile militar	5	5	5	marcha - parada militar	desfile	militar	desfile	militar	NA	Approved
azevedo-410116	56	disco rígido	5	2	1	disco duro - memoria	disco	rígido	disco	rígido	NA	Approved
azevedo-410116	57	disco voador	3	5	4	ovni - UFO	disco	voador	disco	voador	NA	Approved
azevedo-410116	58	efeitos especiais	5	3	4	efeito optico - efeito visual	efeitos	especiais	efeito	especial	NA	Approved
azevedo-410116	61	estrela cadente	3	5	2	meteorito - meteoro	estrela	cadente	estrela	cadente	NA	Approved
azevedo-410116	63	exames laboratoriais	5	5	5	exame pericial - teste laboratorial	exames	laboratoriais	exame	laboratorial	NA	Approved
azevedo-410116	64	farinha integral	5	3	2	farofa - grão moido	farinha	integral	farinha	integral	NA	Approved
azevedo-410116	70	gatos-pingados	0	0	0	algum - pouco	gatos	pingados	gato	pingado	NA	Approved
azevedo-410116	72	golpe baixo	5	3	2	falcatura - trapaça	golpe	baixo	golpe	baixo	NA	Approved
azevedo-410116	73	governo federal	5	5	5	federação - união	governo	federal	governo	federal	NA	Approved
azevedo-410116	75	gripe suína	4	0	0	gripe A - gripe do porco	gripe	suína	gripe	suíno	NA	Approved
azevedo-410116	76	guarda-florestal	5	5	5	sentinela - vigia	guarda	florestal	guarda	florestal	NA	Approved
azevedo-410116	77	jogo duro	2	4	3	arduo - dificil	jogo	duro	jogo	duro	NA	Approved
azevedo-410116	79	leite integral	5	4	3	leite na integra - leite natural	leite	integral	leite	integral	NA	Approved
azevedo-410116	89	magia negra	4	3	1	bruxaria - macumba	magia	negra	magia	negro	NA	Approved
azevedo-410116	90	mão-fechada	3	3	2	mão de vaca - sovina	mão	fechada	mão	fechado	NA	Approved
azevedo-410116	91	máquina virtual	4	5	3	ambiente computacional - emulador	máquina	virtual	máquina	virtual	NA	Approved
azevedo-410116	92	mar aberto	5	4	3	alto mar - largo	mar	aberto	mar	aberto	NA	Approved
azevedo-410116	93	maré alta	5	4	3	mar alto - maré grande	maré	alta	maré	alto	NA	Approved
azevedo-410116	94	maré baixa	5	5	5	mar baixo - maré raza	maré	baixa	maré	baixo	NA	Approved
azevedo-410116	95	massa cinzenta	3	1	0	cabeça - cerebro	massa	cinzenta	massa	cinzento	NA	Approved
azevedo-410116	96	mau contato	5	3	4	contato falho - contato irregular	contato	mau	contato	mau	AN	Approved
azevedo-410116	97	mau-humor	5	4	3	deprimido - triste	humor	mau	humor	mau	AN	Approved
azevedo-410116	99	mercado negro	5	2	3	mercado da ilegalidade - mercado ilegal	mercado	negro	mercado	negro	NA	Approved
azevedo-410116	100	mesa-redonda	3	1	0	conversa aberta - conversa geral	mesa	redonda	mesa	redondo	NA	Approved
azevedo-410116	104	novo mundo	3	5	1	nova fase - novo começo	mundo	novo	mundo	novo	AN	Approved
azevedo-410116	109	olho nu	3	4	3	vista desarmada - vista natural	olho	nu	olho	nu	NA	Approved
azevedo-410116	111	ovelha negra	0	0	0	excluido - odiado	ovelha	negra	ovelha	negro	NA	Approved
azevedo-410116	112	pão-duro	2	2	1	mão de vaca - sovina	pão	duro	pão	duro	NA	Approved
azevedo-410116	114	paraíso fiscal	3	4	1	ilhas caiman - suiça	paraíso	fiscal	paraíso	fiscal	NA	Approved
azevedo-410116	116	pau-mandado	2	5	1	obediente - subserviente	pau	mandado	pau	mandado	NA	Approved
azevedo-410116	117	pavio curto	2	2	0	esquentadinho - irritado	pavio	curto	pavio	curto	NA	Approved
azevedo-410116	118	pé quente	2	1	0	afortunado - sortudo	pé	quente	pé	quente	NA	Approved
azevedo-410116	121	pente fino	3	2	1	busca detalhada - busca minuciosa	pente	fino	pente	fino	NA	Approved
azevedo-410116	122	peso morto	4	2	3	incômodo - trabalhoso	peso	morto	peso	morto	NA	Approved
azevedo-410116	125	pólo-aquático	2	5	1	futebol aquatico - futebol de piscina	pólo	aquático	pólo	aquático	NA	Approved
azevedo-410116	131	primeira mão	3	5	2	antes - primeiro	mão	primeira	mão	primeiro	AN	Approved
azevedo-410116	132	primeira necessidade	5	3	2	necessidade principal - necessidade prioritaria	necessidade	primeira	necessidade	primeiro	AN	Approved
azevedo-410116	136	príncipe encantado	1	3	1	amor da vida - romeu	príncipe	encantado	príncipe	encantado	NA	Approved
azevedo-410116	137	processo seletivo	5	5	5	processo de escolha - processo eliminatorio	processo	seletivo	processo	seletivo	NA	Approved
azevedo-410116	139	puro-sangue	2	5	0	com pedigree - de raça	sangue	puro	sangue	puro	AN	Approved
azevedo-410116	140	quadro-negro	5	2	3	lousa - quadro de giz	quadro	negro	quadro	negro	NA	Approved
azevedo-410116	141	queda livre	4	3	2	cair - despencar	queda	livre	queda	livre	NA	Approved
azevedo-410116	142	quinta categoria	2	3	2	pessimo - ruim	categoria	quinta	categoria	quinto	AN	Approved
azevedo-410116	146	relógio biológico	3	5	0	ciclo biologico - tempo biologico	relógio	biológico	relógio	biológico	NA	Approved
azevedo-410116	147	reta final	3	5	1	finaleira - inicio do fim	reta	final	reta	final	NA	Approved
azevedo-410116	148	roda gigante	5	5	5	gira gira - grande roda	roda	gigante	roda	gigante	NA	Approved
azevedo-410116	149	roleta russa	3	0	0	roleta soviética - suicídio	roleta	russa	roleta	russo	NA	Approved
azevedo-410116	155	sangue quente	0	2	0	audaz - destemido - ímpeto - ousado	sangue	quente	sangue	quente	NA	Approved
azevedo-410116	159	sentença judicial	5	5	5	julgamento - punição	sentença	judicial	sentença	judicial	NA	Approved
