compound	noun	modifier	nounlemma	modifierlemma	order	number	gender	A-invar	hyphen	freq-brWaC	related-expr	comment	Aline-annot	examplesent1	examplesent2	examplesent3	regexp-freq	undefdetHead	undefdet	ser	ter	link-wiktionnary					
café colonial	café	colonial	café	colonial	NA	S	M	no	no	117			C	Termine a viagem na Floos Haus e saia rolando de tanto comer no <strong>café colonial</strong>.	Os hotéis locais também oferecem boas alternativas, como noites de bailes e <strong>café coloniais</strong> aos sábados.	Inclui <strong>café colonial</strong>, almoço, jantar e todas as atividades de lazer, incluindo cavalgadas, caiaque e pesca esportiva.	café colonial	um	um	é	tem	https://pt.wikipedia.org/wiki/Caf%C3%A9_colonial					
caixa-forte	caixa	forte	caixa	forte	NA	S	F	no	yes	174			PC	Experts em assaltos a cofres e <strong>caixas forte</strong>.	Quero que estes sejam instalados em <strong>caixa forte</strong> em condições de conservação adequadas a cargo da câmara municipal.	A lucidez que lhe permitiu guardar esses presentes em uma <strong>caixa forte</strong> blindada daquela casa, em vez dos guardar no Museu da Presidência da República.	caixa forte	uma	uma	é	tem	http://www.priberam.pt/dlpo/caixa%20forte					
caixa-preta	caixa	preta	caixa	preto	NA	S	F	no	yes	2688			PC	Quando será aberta a <strong>caixa preta</strong> do sindicalismo brasileiro?	Eles foram convocados para abrir a <strong>caixa preta</strong> do panamericano.	Em suma: aparelhos são <strong>caixas pretas</strong> que simulam o pensamento humano.	caixa preto	uma	uma	é	tem	https://pt.wiktionary.org/wiki/caixa-preta					
caixeiro viajante	caixeiro	viajante	caixeiro	viajante	NA	S	M	yes	no	57			PC	Além de marinheiro e <strong>caixeiro viajante</strong> devo ter sido poeta...	Os <strong>caixeiros viajantes</strong> partiram, não para vender a produção, mas para vender o país.	Ridículo que os <strong>caixeiros viajantes</strong> de agora tentam vender o que os outros vão produzir.	caixeiro viajante	um	um	é	tem						
câmara fria	câmara	fria	câmara	frio	NA	S	F	no	no	1080			PC	Fomos os primeiros da região a implantar uma <strong>câmara fria</strong> para sementes.	A <strong>câmara fria</strong> armazena cerca de 30 bois e a capacidade diária de abate chega a 60 bois diários.	Logo após a produção os barris seguem para os bares da rede e permanecem armazenados em <strong>câmaras frias</strong>.	câmara frio	uma	uma	é	tem	XX					
carne branca	carne	branca	carne	branco	NA	S	F	no	no	368			PC	Ideal para acompanhar <strong>carnes brancas</strong> e massas.	As carnes vermelhas são mais nutritivas do que as <strong>carnes brancas</strong>, com relação a micronutrientes.	Trata-se de <strong>carne branca</strong>, com pouca gordura e boa fonte de proteína.	carne branco	uma	uma	é	tem	https://pt.wiktionary.org/wiki/carne_branca					
carne vermelha	carne	vermelha	carne	vermelho	NA	S	F	no	no	5365			PC	Você poderá comer frango grelhado ou cozido ao invés de <strong>carne vermelha</strong>.	Como os nutricionistas vêem o consumo de <strong>carne vermelha</strong>?	Ideal para acompanhar <strong>carnes vermelhas</strong>, caças e porco.	carne vermelho	uma	uma	é	tem	https://pt.wiktionary.org/wiki/carne_vermelha					
carro-forte	carro	forte	carro	forte	NA	S	M	yes	yes	606			PC	Quando o <strong>carro forte</strong> deixou o banco, os veículos ingressaram no estacionamento.	Já tivemos ministros que nem sabiam a diferença entre um blindado e um <strong>carro forte</strong>.	Assaltos mais ousados passaram a acontecer, e os <strong>carros fortes</strong> foram se tornando verdadeiras fortalezas.	carro forte	um	um	é	tem	https://pt.wiktionary.org/wiki/carro-forte					
carta aberta	carta	aberta	carta	aberto	NA	S	F	no	no	351			PC	Reproduzimos, na íntegra a <strong>carta aberta</strong> que foi redigida em inglês, macuxi e português.	A <strong>carta aberta</strong> também faz denúncias de descaso com a saúde de indígenas.	As cartas argumentativas podem ser: <strong>carta aberta</strong> à população, carta de reclamação e carta de solicitação.	carta aberta	uma	uma	é	tem						
centro comercial	centro	comercial	centro	comercial	NA	S	M	no	no	9273			C	A chuva levou muita gente aos <strong>centros comerciais</strong>.	Normalmente, os restaurantes encontram-se dentro de <strong>centros comerciais</strong>.	Pedimos para ir ao maior <strong>centro comercial</strong> de Delhi.	centro comercial	um	um	é	tem	https://pt.wiktionary.org/wiki/shopping_center					
centro espírita	centro	espírita	centro	espírita	NA	S	M	no	no	2402			C	Qual o papel que o <strong>centro espírita</strong> deve desempenhar?	O <strong>centro espírita</strong> tem que ser o lugar de doutrina espírita.	O público que frequenta um <strong>centro espírita</strong> busca o que em uma palestra?	centro espírita	um	um	é	tem	https://pt.wiktionary.org/wiki/centro_esp%C3%ADrita					
cerca viva	cerca	viva	cerca	viva	NA	S	F	no	no	35			PC	É bem possível realizar uma <strong>cerca viva</strong>, com espécies distintas ao redor da horta.	Ela forma uma ótima <strong>cerca viva</strong> quando plantada a cada metro e meio. 	Também são cultivadas para <strong>cercas vivas</strong> inclusive de divisas territoriais e para sombreamento de estradas.	cerca viva	uma	uma	é	tem						
céu aberto	céu	aberto	céu	aberto	NA	S	M	no	no	429	a céu aberto		NC	Em Florianópolis, o shopping a <strong>céu aberto</strong> será na rua Vidal Ramos.	Eram umas lobas que, a <strong>céu aberto</strong> lutavam raivosamente para proteger sua tribo.	O Inhotim reune obras de arte a <strong>céu aberto</strong>, galerias e um acervo com cerca de 500 obras de arte.	céu aberto	um	um	é	tem	https://pt.wiktionary.org/wiki/a_c%C3%A9u_aberto					
cheiro-verde	cheiro	verde	cheiro	verde	NA	S	M	no	yes	123			NC	Pique o <strong>cheiro verde</strong> e as folhas de aipo.	Bouquet garni: palavra de origem francesa que significa um ramalhete de <strong>cheiros verdes</strong>.	Acerte o sal e finalize com suco de limão cravo e o <strong>cheiro verde</strong>.	cheiro verde	um	um	é	tem	http://www.priberam.pt/dlpo/cheiro%20verde					
circuito integrado	circuito	integrado	circuito	integrado	NA	S	M	no	no	89			C	Nascia aí o <strong>circuito integrado</strong>, um pequeno pedaço, um pequeno chip.	Em 1965, produziu seu primeiro <strong>circuito integrado</strong> experimental e começou a lançar equipamentos electrônicos transistorizados.	Isto culminou com a construção do primeiro <strong>circuito integrado</strong> no final da década de sessenta.	circuito integrado	um	um	é	tem	https://pt.wiktionary.org/wiki/circuito_integrado					
círculo vicioso	círculo	vicioso	círculo	vicioso	NA	S	M	no	no	5775			PC	Como cortar este <strong>círculo vicioso</strong> negativo, destrutivo?	Acelerou-se o <strong>círculo vicioso</strong> entre finanças e política.	Comendo mais, engorda e assim começa um <strong>círculo vicioso</strong>.	círculo vicioso	um	um	é	tem	https://pt.wiktionary.org/wiki/c%C3%ADrculo#Express.C3.B5es					
círculo virtuoso	círculo	virtuoso	círculo	virtuoso	NA	S	M	no	no	1600			PC	Em um <strong>círculo virtuoso</strong>, o processo se auto-alimenta.	Um comportamento altruístico que gera o <strong>círculo virtuoso</strong> da reciprocidade.	Foi criado um <strong>círculo virtuoso</strong>, em que se geram empregos formais, com salários maiores.	círculo virtuoso	um	um	é	tem	XX					
classe executiva	classe	executiva	classe	executivo	NA	S	F	no	no	2942			PC	E ainda falta contar o preço de as passagens, todas na <strong>classe executiva</strong>.	Ninguém viaja de <strong>classe executiva</strong> e os quartos dos hotéis são sempre compartilhados.	Os lounges para primeira classe e <strong>classe executiva</strong> ficam no andar de cima.	classe executivo	uma	uma	é	tem	http://www.priberam.pt/dlpo/classe%20executiva					
colégio militar	colégio	militar	colégio	militar	NA	S	M	yes	no	1183			C	Ela tem apenas 18 anos e cursa o último ano no <strong>colégio militar</strong> de Porto Alegre.	Em 1960 ingressou no <strong>colégio militar</strong> em Lisboa.	Cursou o <strong>colégio militar</strong> do Rio de Janeiro, no qual obteve o diploma de agrimensor.	colégio militar	um	um	é	tem						
coluna social	coluna	social	coluna	social	NA	S	F	yes	no	364			PC	O casal foi o assunto em todas as <strong>colunas sociais</strong>.	Seus rostos ilustram as <strong>colunas sociais</strong> e as revistas de fofocas revelam sua vida privada.	Depois de três anos vivendo em Washington, ele nunca apareceu em <strong>colunas sociais</strong>.	coluna social	uma	uma	é	tem	http://www.priberam.pt/dlpo/coluna%20social					
comida caseira	comida	caseira	comida	caseiro	NA	S	F	no	no	2258			C	Deve estar habituado a <strong>comida caseira</strong> porque só quer latas de comida.	Na passagem vimos uma plaquinha em uma casa anunciando <strong>comida caseira</strong>.	No fundo do quintal tem mesinhas onde ela serve <strong>comida caseira</strong>.	comida caseiro	uma	uma	é	tem	https://pt.wiktionary.org/wiki/caseiro					
companhia aérea	companhia	aérea	companhia	aéreo	NA	S	F	no	no	15031			C	A TAM linhas aéreas é uma <strong>companhia aérea</strong> brasileira.	A Varig foi a primeira <strong>companhia aérea</strong> brasileira.	Nossas <strong>companhias aéreas</strong> têm um histórico assustador.	companhia aéreo	uma	uma	é	tem	https://pt.wikipedia.org/wiki/Linha_a%C3%A9rea					
conta-corrente	conta	corrente	conta	corrente	NA	S	F	yes	yes	609			PC	O governo britânico ameaçou congelar poupanças islandesas e <strong>contas correntes</strong>.	Por exemplo, as transações ilegais de valores de <strong>contas correntes</strong>.	Um cartão de débito tem ligação com sua <strong>conta corrente</strong>.	conta-corrente	uma	uma	é	tem						
coração partido	coração	partido	coração	partido	NA	S	M	no	no	558			PC	Está com o <strong>coração partido</strong>, sangrando por dentro?	Estou realmente destruída, com o meu <strong>coração partido</strong>.	A dor de um <strong>coração partido</strong> é inevitável, mas o sofrimento é opcional.	coração partido	um	um	é	tem	https://pt.wikipedia.org/wiki/S%C3%ADndrome_do_cora%C3%A7%C3%A3o_partido					
corda bamba	corda	bamba	corda	bambo	NA	S	F	no	no	4084			NC	Você está sempre à beira do erro, na <strong>corda bamba</strong>.	É difícil viver o tempo todo nessa <strong>corda bamba</strong>.	É uma <strong>corda bamba</strong>, mas acho que conseguimos nos equilibrar muito bem.	corda bambo	uma	uma	é	tem	http://www.priberam.pt/dlpo/corda%20bamba					
cordas vocais	cordas	vocais	corda	vocal	NA	P	F	no	no	3644			C	Sussurrar não poupa as <strong>cordas vocais</strong>, muito pelo contrário.	A freqüência da voz é determinada pelas <strong>cordas vocais</strong>.	Crises de tosse também podem causar lesão nas <strong>cordas vocais</strong>.	corda vocal	<!--x-->	<!--x-->	são	têm	https://pt.wiktionary.org/wiki/corda#Express.C3.B5es					
curto-circuito	circuito	curto	circuito	curto	AN	S	M	no	yes	4183			PC	A memória entra em <strong>curto-circuito</strong>.	Apagaram as luzes com um <strong>curto-circuito</strong> na casa de força.	O incêndio foi provocado pelo <strong>curto-circuito</strong> de um video-game.	curto circuito	um	um	é	tem	https://pt.wiktionary.org/wiki/curto-circuito					
deputado federal	deputado	federal	deputado	federal	NA	S	M	yes	no	4224			C	Ele quer se candidatar a <strong>deputado federal</strong> em 2014.	Em 1986, elegeu-se <strong>deputado federal</strong> por São Paulo.	O Nordeste tem 27 senadores e mais de uma centena de <strong>deputados federais</strong>.	deputado federal	um	um	é	tem						
desfile militar	desfile	militar	desfile	militar	NA	S	M	yes	no	1051			C	Durante este festival os Sikhs realizam <strong>desfiles militares</strong> e espectáculos de artes marciais.	Apenas será mantido o <strong>desfile militar</strong> na avenida Champs-Élysées.	Em Moscou, a data é comemorada com <strong>desfiles militares</strong>, apresentações musicais e queima de fogos.	desfile militar	um	um	é	tem						
direitos humanos	direitos	humanos	direito	humano	NA	P	M	no	no	6119			C	Os crimes relacionados com <strong>direitos humanos</strong> prescrevem?	Defensor ou agressor dos <strong>direitos humanos</strong>?	O documento citará a violação de <strong>direitos humanos</strong>.	direitos humanos	<!--x-->	<!--x-->	são	têm						
disco rígido	disco	rígido	disco	rígido	NA	S	M	no	no	8982			PC	Os spywares exploram os cookies armazenados no <strong>disco rígido</strong>.	20Mb de espaço disponível no <strong>disco rígido</strong>;	A imagem do sistema deve ser salva em um <strong>disco rígido</strong>.	disco rígido	um	um	é	tem	https://pt.wiktionary.org/wiki/disco_r%C3%ADgido					
disco voador	disco	voador	disco	voador	NA	S	M	no	no	5189			NC	Ilustração do que se acredita serem <strong>discos voadores</strong>.	Estamos totalmente alheios a esse assunto de <strong>disco voador</strong>.	Um encontro fatal com tripulantes de um <strong>disco voador</strong>?	disco voador	um	um	é	tem	http://www.priberam.pt/dlpo/disco%20voador					
efeito especial	efeito	especial	efeito	especial	NA	S	M	yes	no	10589			PC	Os <strong>efeitos especiais</strong> são convincentes.	A cena é grotesca, com <strong>efeitos especiais</strong> exagerados e nojentos.	Um mundo repleto de fabulosos <strong>efeitos especiais</strong> tridimensionais.	efeito especial	um	um	é	tem	https://pt.wiktionary.org/wiki/efeito#Express.C3.B5es					
elefante branco	elefante	branco	elefante	branco	NA	S	M	no	no	1242			NC	Alguns dos estádios novos foram criticados por se tornarem "<strong>elefantes brancos</strong>" após a Copa.	Tenho preocupação com o futuro do estádio de Manaus, pode ser mesmo um <strong>elefante branco</strong>.	Os projectos megalómanos pontificavam-se como verdadeiros <strong>elefantes brancos</strong> desbaratando a eito toda a ajuda da cooperação internacional 	elefante branco	um	um	é	tem	http://www.priberam.pt/dlpo/elefante%20branco					
escada rolante	escada	rolante	escada	rolante	NA	S	F	yes	no	118			PC	Os elevadores, <strong>escadas rolantes</strong> e esteiras rolantes;	Próximo existem duas <strong>escadas rolantes</strong> e dois elevadores.	Nas outras subo de <strong>escada rolante</strong> com acompanhante.	escada rolante	uma	uma	é	tem						
estrela cadente	estrela	cadente	estrela	cadente	NA	S	F	yes	no	1005			C	Um meteoro é também por vezes designado de <strong>estrela cadente</strong>.	Nosso sistema solar também apresenta um fenômeno atmosférico frequente: as <strong>estrelas cadentes</strong>.	E não é que uma chuva de <strong>estrelas cadentes</strong> caiu sobre a Terra?	estrela cadente	uma	uma	é	tem	https://pt.wiktionary.org/wiki/estrela_cadente					
exame clínico	exame	clínico	exame	clínico	NA	S	M	no	no	789			C	Esse diagnostico é realizado através de <strong>exame clínico</strong> e radiográfico.	Simples <strong>exame clínico</strong> poderia perfeitamente atender à exigência do tipo.	Durante um <strong>exame clínico</strong>, muitas vezes o médico pode palpar a bexiga cheia.	exame clínico	um	um	é	tem	XX					
exame laboratorial	exame	laboratorial	exame	laboratorial	NA	S	M	no	no	737			C	Reagentes aceleram o resultado de <strong>exames laboratoriais</strong>.	O diagnóstico é feito através de <strong>exames laboratoriais</strong>.	Não basta fazer <strong>exames laboratoriais</strong> e radiografias para estabelecer o diagnóstico.	exame laboratorial	um	um	é	tem	https://pt.wikipedia.org/wiki/Exame_laboratorial					
farinha integral	farinha	integral	farinha	integral	NA	S	F	yes	no	125			C	Elaboração de macarrão cozido à base de <strong>farinha integral</strong> de quinoa e farinha de arroz.	Use <strong>farinha integral</strong> em lugar da farinha branca ou fina, que é pobre de elementos nutritivos.	Cada uma dessas linhas tem várias subdivisões com pães elaborados a partir de matérias-primas como centeio, glúten, linhaça e <strong>farinha integral</strong>.	farinha integral	uma	uma	é	tem	XX					
febre amarela	febre	amarela	febre	amarelo	NA	S	F	no	no	6766			PC	Jean-Baptiste morreu de <strong>febre amarela</strong> quando o filho tinha quinze meses.	O Rio de Janeiro era assolado por doenças como varíola e <strong>febre amarela</strong>.	Fui olhar o meu atestado de vacina contra <strong>febre amarela</strong>.	febre amarela	uma	uma	é	tem	https://pt.wiktionary.org/wiki/febre_amarela					
ficha limpa	ficha	limpa	ficha	limpo	NA	S	F	no	no	3148			NC	A questão da corrupção, da <strong>ficha limpa</strong>.	Não há objeção dos deputados para que haja <strong>ficha limpa</strong>.	Só deputado e senador têm que ter <strong>ficha limpa</strong>? 	ficha limpo	uma	uma	é	tem	https://pt.wiktionary.org/wiki/ficha_limpa					
fila indiana	fila	indiana	fila	indiano	NA	S	F	no	no	122			PC	Caminhavam em <strong>fila indiana</strong>, uma influência indígena.	Seguimos em <strong>fila indiana</strong> subindo e descendo encostas de areia carregando nossas enormes mochilas.	Chamamos de <strong>fila indiana</strong> a fila em que uma pessoa fica atrás da outra esperando sua vez.	fila indiana	uma	uma	é	tem	http://www.priberam.pt/dlpo/fila%20indiana					
fio condutor	fio	condutor	fio	condutor	NA	S	M	no	no	2874			NC	Esse é o <strong>fio condutor</strong> dessa coletânea de textos.	Tem um <strong>fio condutor</strong> em redor do qual se desencadeia toda a história.	A grande preocupação foi que houvesse um <strong>fio condutor</strong> em todo o concerto.	fio condutor	um	um	é	tem	XX					
força bruta	força	bruta	força	bruto	NA	S	F	no	no	1308			PC	A <strong>força bruta</strong> seria a solução para a criminalidade que nos assola.	A mobilidade da vida social moderna exige inteligência, não <strong>força bruta</strong>;	Usar a <strong>força bruta</strong>, para tentar impor um ponto de vista não vai funcionar.	força bruta	uma	uma	é	tem	XX					
gato-pingado	gato	pingado	gato	pingado	NA	S	M	no	yes	72			NC	Não deu quase ninguém, só alguns <strong>gatos pingados</strong>! 	Os esquerdistas, na comparação, eram meia dúzia de <strong>gatos pingados</strong>.	Se der mil <strong>gatos pingados</strong> pode registrar como o primeiro milagre no século XXI.	gato-pingado	um	um	é	tem						
gelo-seco	gelo	seco	gelo	seco	NA	S	M	no	yes	913			PC	Weldon igualou os efeitos filmados em Yellowstone com <strong>gelo seco</strong> e máquinas de fumaça.	Sim, o <strong>gelo seco</strong>, que é dióxido de carbono na forma sólida, é uma substância perigosa.	Os pólos estão cobertos por calotas polares formadas por <strong>gelo seco</strong> (dióxido de carbono congelado) e gelo de água.	gelo seco	um	um	é	tem	https://pt.wiktionary.org/wiki/gelo-seco					
golpe baixo	golpe	baixo	golpe	baixo	NA	S	M	no	no	716			NC	A Internet abre possibilidades sem fim para abusos e <strong>golpes baixos</strong>.	Em esse campo são corriqueiras as brigas judiciais, <strong>golpes baixos</strong> e acusações de favorecimento.	No afã de alcançar seus objetivos, para alguns vale tudo, até <strong>golpes baixos</strong>.	golpe baixo	um	um	é	tem	XX					
governo federal	governo	federal	governo	federal	NA	S	M	yes	no	7546			C	Apenas o <strong>governo federal</strong> teria essa autoridade.	Armados e treinados pelo <strong>governo federal</strong>.	Uma crise política abalou o <strong>governo federal</strong>.	governo federal	um	um	é	tem						
gripe aviária	gripe	aviária	gripe	aviário	NA	S	F	no	no	327			PC	Há suspeitas de que o foco da <strong>gripe aviária</strong> tenha surgido nesses locais.	Seja essa pandemia causada pelo vírus da <strong>gripe aviária</strong>, suína ou qualquer outro.	Os porcos também podem ser infectados por vírus da <strong>gripe aviária</strong> e por vírus da influenza sazonal humana.	gripe aviário	uma	uma	é	tem	https://pt.wikipedia.org/wiki/Gripe_avi%C3%A1ria					
gripe suína	gripe	suína	gripe	suíno	NA	S	F	no	no	8004			PC	Como a <strong>gripe suína</strong> se espalha?	Como diferenciar entre gripe comum e <strong>gripe suína</strong>?	Existe uma vacina que combate a <strong>gripe suína</strong>?	gripe suíno	uma	uma	é	tem	https://pt.wikipedia.org/wiki/Gripe_su%C3%ADna					
