compound_lemma	compound_surface	compound_lemmapos	headLemma	modifierLemma	nAnnot	avgHead	stdevHead	avgModifier	stdevModifier	compositionality	stdevHeadModifier	equivalents
bon_poire	bonne_poire	bon/a_poire/n	poire	bonne	14	0.1429	0.3631	2.4286	1.9101	0.5000	0.6504	personne naïve(5);personne trop gentille(2);naïve(2);personne trop bonne(2);trop bon(2);naïf(2);personne de bonne composition(1);bonne tête(1);dupe(1);individu qui rend services aux autres(1);personne naive(1);naif(1);pigeon(1);bonne pomme(1);gentil(1);personne facilement abusable(1);personne qui ne sait pasd dire non(1);nigaud(1);béni oui oui(1);individu qui manque de caractere(1);candive(1);quelqu'un qui est trop serviable(1);bonne bouille(1)
bon_pratique	bonne_pratique	bon/a_pratique/n	pratique	bonne	12	4.4167	0.6686	4.5833	0.7930	4.6667	0.4924	bonnes habitudes(2);bonne habitude(2);bienfaisante(2);bien faire(1);bonne moeur(1);bonne procédure(1);code de déontologie(1);pratiques standards(1);application(1);bonne conduite(1);sérieuse pratique(1);usage(1);correct(1);dévouement(1);règlement(1);poussé(1);codes à pratiquer(1);bon usage(1);professionnalisme(1);meilleures façons de faire(1);pratiques à respecter(1);règle(1);savoir faire(1)
bouc_émissaire	bouc_émissaire	bouc/n_émissaire/a	bouc	émissaire	13	0.1538	0.3755	0.6923	1.1094	0.0769	0.2774	victime(5);souffre douleur(4);coupable désigné(2);victime expiatoire(2);faux coupable(1);individu pour endosser la responbsabilité(1);victime expiatioire(1);homme de paille(1);individu portant la responsabilité(1);pharmakos(1);réprouvé(1);personne responsable(1);tort(1);personne innocente qu'on accuse(1);fautive(1);tête de turc(1);maudit(1);responsable arbitrairement nommé(1);individu qui paie pour les autres(1);responsable de tous les torts(1)
bras_cassé	bras_cassé	bras/n_cassé/a	bras	cassé	14	0.7857	0.9750	0.6429	0.7449	0.5714	0.8516	incapable(6);nuls(3);bon à rien(3);incompétent(2);maladroit(2);incapables(2);empoté(1);bon a rien(1);group de paresseux(1);pas doue(1);mauvais(1);minable(1);des nuls(1);perdant(1);nul(1);gaffeur(1);des incapables(1);raté(1);des incompétents(1);abrutis(1);peu productifs(1)
bras_droit	bras_droit	bras/n_droit/a	bras	droit	12	0.6667	0.7785	0.6667	0.7785	0.3333	0.4924	collaborateur(4);adjoint(3);homme de confiance(3);assistant principal(2);principal assistant d'une personne(1);collaborateur proche(1);proche(1);allié proche(1);alter égo(1);associe(1);acolyte(1);second(1);aide direct(1);agent d'exécution(1);conseiller(1);délégué de confiance(1);associé(1);personne sur laquelle il dépend(1)
brebis_galeux	brebis_galeuse	brebis/n_galeux/a	brebis	galeuse	12	0.5000	0.6742	0.6667	0.9847	0.5000	0.6742	personne indésirable(3);agent provocateur(3);mouton noir(2);personne rejetée(2);pesteux(1);vilain petit canard(1);associal(1);personne à l'influence pernicieuse et corruptrice(1);écarter(1);personne que l'on évite(1);traître(1);mauvaise persone(1);personne dangéreuse(1);rebelle(1);mauvais élément(1);mauvaise herbe(1);bouc émissaire(1);personne a l'influence corruptrice(1);quelqu'un indésirable(1);personne que l'on evite(1);pestiféré(1)
carte_blanc	carte_blanche	carte/n_blanc/a	carte	blanche	14	0.2857	0.4688	0.2143	0.4258	0.2143	0.4258	permission(3);autorisation(3);pouvoir(2);plein pouvoir(2);liberté totale(2);libre initiative(2);toute latitude(1);ayaint la permission(1);blanc seing(1);facil(1);puissance(1);laisse faire total(1);feux vert(1);libre champs(1);voie libre(1);tout les moyens(1);liberté(1);privilege de tout faire(1);n'importe quoi n'importe quand(1);confiance aveugle(1);cartier libre(1);pleins pouvoirs pour accomplir une tâche(1);donner le pouvoir(1);pleins pouvoirs(1)
carte_bleu	carte_bleue	carte/n_bleu/a	carte	bleue	14	5.0000	0.0000	1.4286	1.4525	1.8571	1.4064	carte de crédit(8);carte bancaire(7);carte de paiement(3);carte de débit(2);carte de paiment(2);cartes de crédit(1);carte à puce électronique integrée(1);plastique de paiement(1);monnaie electronique(1);carte visa(1);carte électronique(1);monnaie électronique(1);débit(1);payment(1);paiement eléctronique(1)
carte_gris	carte_grise	carte/n_gris/a	carte	grise	14	4.5000	0.6504	3.0714	1.9400	3.0714	1.8590	certificat d'immatriculation(9);autorisation de circuler(2);identification du véhicule(2);carte de titre pour vehicule(1);carte d'enregistrement d'un véhicule(1);carte d'identité du véhicule(1);certificat d'immatriculation vehicule(1);identité d'un véhicule(1);carte de véhicule(1);en france, carte pour vehicule(1);certificat de propriété de voiture(1);papiers du véhicule(1);papier du véhicule(1);carte d'assurance(1);document qui matérialise l'autorisation de circuler du véhicule et permet son identification en france(1);assurance de voiture(1);papier d'identification d'un véhicule(1);papier de voiture(1);document qui matérialise l'autorisation de circuler un véhicule(1);preuve d'immatriculation d'un véhicule(1);carte d'identité d'un véhicule(1)
carte_vital	carte_vitale	carte/n_vital/a	carte	vitale	12	4.9167	0.2887	1.2500	1.1382	1.4167	1.0836	carte d'assurance maladie(5);carte d'assuré social(4);carte de santé(3);carte de sécurité sociale(2);carte de sécurite sociale(1);carte d’assuré social(1);carte d'assuré à la sécurité sociale(1);carte de visite(1);bristol(1);carte de sécu(1);ticket(1);abonnement(1);carte assurance maladie(1);carte d'adhérent à l'assurance maladie(1);carte d'assuré(1)
carton_plein	carton_plein	carton/n_plein/a	carton	plein	11	1.0000	1.2649	1.7273	1.2721	1.0909	1.2210	réussite(4);succès(4);victoire(2);reussir(2);triomphe(1);réussir remarquablement(1);réussite totale(1);realiser(1);réussite complète(1);succès retentissant(1);succes eclatant(1);réussir(1);victoire éclatante(1);réussir de façon éclatante(1);briller de succès(1);complet(1)
casque_bleu	casque_bleu	casque/n_bleu/a	casque	bleu	14	1.2857	1.3828	2.3571	1.6458	1.4286	1.2839	soldat de la paix(3);soldat(2);soldats de l'onu(2);soldat de l'onu(2);force de maintien de la paix(2);force de l'onu(2);béret bleu(2);représentant de la paix(1);forces d'interposition de l'onu(1);soldat des onu(1);mission militaire de l'onu(1);force de paix(1);militaire pacificateur(1);médiateur(1);maintien de la paix(1);armée mondiale(1);saldat de la paix(1);soldats des nations unies(1);soldats au services des nations unies(1);soldat onusien(1);neutre(1);soldat des forces internationales(1);soldat de un(1);foce militaire de l'onu(1);force de maintien de paix(1);militaires de l'un(1)
centre_commercial	centre_commercial	centre/n_commercial/a	centre	commercial	12	3.1667	1.4035	5.0000	0.0000	4.0000	0.7385	galerie marchande(4);centre d'achat(3);hypermarché(3);supermarché(2);grande surface de plusieurs commerces(1);grand magasin(1);gallerie marchande(1);surface d'achats(1);ensemble de commerce(1);shopping(1);parc commercial(1);bâtiment pour les commerces(1);centre pour shopping(1);centrale d'achats(1);mall(1);mail(1);galerie commerciale(1);espace commercial(1);magasin(1)
cercle_vicieux	cercle_vicieux	cercle/n_vicieux/a	cercle	vicieux	15	2.0667	1.8310	2.8000	1.6125	2.0667	1.6242	situation inextricable(2);enchaînement diabolique(2);situation complexe dont on ne sait comment se sortir(1);situation de laquelle on ne peut sortir(1);conséquences(1);cycle mauvaise(1);evenement qui se repete sans control(1);conséquences négatives(1);suite de problèmes(1);spirale infernale(1);problèmes incontournables(1);mauvaises événements qui se répètent(1);effet boule de neige(1);situation qui va en cercle(1);c'est le serpent qui se mord la queue(1);perdition(1);situation complexe(1);mauvaise situation(1);situation sans issue(1);spirale vicieuse(1);somme de mauvaises décisions(1);cercle qu'on ne peut echapper(1);cycle(1);situation sans controle(1);piège à rat(1);révolution(1);piège(1);vice(1);situation fâcheuse(1);voie sans issue(1);mauvaise pente(1);spirale diabolique(1)
cerf_volant	cerf_volant	cerf/n_volant/a	cerf	volant	14	0.2143	0.4258	4.7143	0.6112	0.6429	0.8419	lucane(4);jouet volant(3);engin volant(3);jouet(3);aérodyne(3);avion de papier(1);ecoufle(1);triangle volant(1);jeu de plein air(1);dragon volant(1);jouet volant au bout d'un ficelle(1);voile(1);objet volant(1);jeux(1);écoufle(1);serpent volant(1);Écoufle(1);papier et ficelle(1);armature légère volante(1)
chambre_froid	chambre_froide	chambre/n_froid/a	chambre	froide	14	3.9286	1.1411	4.8571	0.5345	4.3571	0.8419	frigo(4);entrepôt frigorifique(3);réfrigérateur(3);congélateur(2);chambre frigorifique(2);glacière(2);chambre frigidaire(1);réfrigerateur(1);réfrigirateur(1);frigorifère(1);frigorifere(1);chambre a temperature tres basse(1);frigorifière(1);chambre réfrigéré(1);refrigerateur(1);chambre a temperature basse(1);pièce réfrégirante(1);frigidaire(1);grand réfrigérateur(1);salle frigorifique(1)
changement_climatique	changement_climatique	changement/n_climatique/a	changement	climatique	13	4.9231	0.2774	4.9231	0.2774	5.0000	0.0000	dérèglement climatique(3);modification du climat(2);altération de la temperature(1);réchauffement de la planète(1);variations des caractéristiques climatiques(1);changement météorologique(1);dysfonctionnement climatique(1);difference dans le climat(1);changement des températures(1);climat alterné(1);chaleur(1);perturbation du climat(1);climat annormal(1);déréglements climatiques(1);variations de température(1);bouleversement(1);changements dans le climat(1);altération(1);réchauffement climatique (1);quand le climat change(1);transformations climatiques(1);réchauffement climatique(1);évolution météorologique(1);météorologique(1);réchauffement(1);changement de climat(1)
chapeau_bas	chapeau_bas	chapeau/n_bas/a	chapeau	bas	13	0.5385	0.7763	0.4615	0.6602	0.4615	0.6602	félicitations(7);bravo(4);félicitation(2);gratitude(1);reconnaissance de qualité(1);bien fait(1);compliments(1);applaudissements(1);reconnaître des mérites(1);démonstration de respect(1);performance remarquable(1);excellent(1);mon admiration(1);félicitations!(1);des félicitations(1);coup de chapeau(1);clameur(1);remerciements(1);compliment(1);merci(1)
charge_social	charge_sociale	charge/n_social/a	charge	sociale	15	3.6667	1.2910	3.0000	1.0690	2.8667	1.1255	cotisations(4);cotisation sociale(3);cotisations sociales(2);charge publique(2);taxe(2);taxes(2);salarie(1);taxe sociale(1);prélèvement obligatoires(1);cotisation sur les salaires(1);taxe sur le travail(1);contribution sociale(1);impôt(1);charges qu'on doit payer(1);impôt social(1);impôt obligatoire(1);cotisation(1);frais sociaux(1);taxe fiscale sur les salaires(1);impôts(1);salaire(1);des charges en surplus(1);coûts pour l'employeur(1);taxes payées par l'employé(1);contribution(1)
chauve_souris	chauve_souris	chauve/a_souris/n	souris	chauve	9	0.6667	0.7071	0.2222	0.4410	0.1111	0.3333	mammifère volant(2);noctule(2);vampire(2);chiroptère(2);bat(1);murin(1);mamifère volant(1);renard volant(1);chiroptera(1);oreillard(1);chauve souris vampire(1);rongeurs glabre(1);rat rasée(1);roussette(1);chiroptères(1);animal volant à sang chaud(1)
chute_libre	chute_libre	chute/n_libre/a	chute	libre	12	4.3333	0.7785	4.0000	1.1282	3.8333	1.1146	saut en parachute(3);saut avant l'ouverture du parachute(2);saut en chute libre(1);chute verticale(1);fait de tomber(1);base jumping(1);tomber brusquement(1);aller ver le bas brutalement(1);sauter d'un avion(1);chute geree par la gravite(1);action de tomber(1);chute pré ouverture du parachute(1);mouvement descendant(1);chute non retenue(1);saut libre(1);tomber sans parachute(1);se laisser aller moralement(1);chutte d'un corps soumis a son poids(1);chute dans le vide(1);anéantissement(1);chute avec la force du poids(1);précipitation(1);vriller(1)
club_privé	club_privé	club/n_privé/a	club	privé	12	4.9167	0.2887	4.8333	0.3892	4.8333	0.3892	cercle(2);cercle privé(2);association(2);association privé(1);partenariat(1);discothèque(1);rassemblement sélectif(1);association non gouvernementale(1);club qui n'est pas public(1);club sélect(1);groupe(1);boîte de nuit(1);fratrie(1);association privée(1);club de gentlemen(1);club select(1);assemble(1);club pour ses membres(1);cercle fermé(1);club pas public(1);discothèque exclusive(1);club vip(1);club strictement pour ses membres(1)
coffre_fort	coffre_fort	coffre/n_fort/a	coffre	fort	14	4.7143	0.4688	3.4286	0.8516	3.6429	0.6333	coffre blindé(5);coffre(3);armoire forte(2);huche(1);dépôt de l'argent(1);coffliot(1);coffiot(1);coffre de sécurité(1);armoire metallique difficile a ouvrir(1);dépôt de richesse(1);caisse d'épargne(1);coffre qui protege ce qui est important(1);armoire sécurisée(1);meuble servant à protéger des objets de valeur(1);coffre inviolable(1);caisse(1);meuble blindé(1);coffret(1);caisse des fonds(1);espace pour objets de valeur(1);coffrer(1);caisse blindée(1);coffre sécurisé(1);coffre blindé servant à conserver les biens précieux(1);conserver des biens(1)
communauté_urbain	communauté_urbaine	communauté/n_urbain/a	communauté	urbaine	14	4.5714	0.5136	4.7143	0.4688	4.6429	0.4972	ville(6);cité(5);agglomération(3);agglomération urbaine(2);ensemble urbain(1);coopération intercommunale(1);établissement public(1);établissement de coopération intercommunal(1);communauté de communes(1);groupe de villes(1);communauté d'une ville(1);métropole(1);ensemble de plusieurs commune(1);coopération de communes(1);mégalopole(1);etablissement public de coopération(1);administration des environs d'une ville(1);conseil municipal(1);cite(1);association(1)
conseil_municipal	conseil_municipal	conseil/n_municipal/a	conseil	municipal	12	4.1667	1.0299	4.8333	0.3892	4.2500	1.0553	administration locale(4);commune(2);assemblée communale(2);conseil communal(2);assemblée délibérante(1);membres du conseil d'etat(1);réunion municipale(1);bourg(1);assemblée(1);conseil des élus(1);mairie(1);élus locaux(1);groupe de la commune(1);administration municipale(1);réunion des élus municipaux(1);assemblée de citoyen(1);conseil de la ville(1);assemblée élue charger d'administrer les affaires de la commune(1);réunion du maire et ses adjoints(1);assemblée délibérant(1)
coup_dur	coup_dur	coup/n_dur/a	coup	dur	14	2.0000	1.1094	3.0714	1.6854	2.2857	1.3260	mauvaise passe(4);difficulté(3);accident(3);blessure(2);ennui soudain(2);malheur(2);coup(1);malchance(1);infortune(1);situation difficile(1);deception(1);coup du sort(1);coup du destin(1);perte(1);mauvaise surprise(1);événement malheureux(1);épreuve(1);difficulte(1);mauvais moment(1);ennui sudain(1);imprevu(1);événement malchanceux(1)
coup_franc	coup_franc	coup/n_franc/a	coup	franc	13	3.3077	1.1821	1.5385	1.5064	1.6154	1.3253	tir de pénalité(4);pénalité(2);sanction contre les joueurs en faute(1);tir direct(1);sanction(1);jeu de touche(1);passe a l'arrêt(1);tir de compensation(1);free kick(1);tir à partir d'un point fixe suite à une faute(1);pénalité sportive(1);penalty(1);coup de pénalité(1);sanction pénalisant une faute(1);coup de pied arrêté(1);tir de penalite(1);loi 13 du football(1);coup penalise(1);faute(1);tir au but(1);tir de pénalité (1);coup de pied de réparation(1);coup libre(1)
courrier_électronique	courrier_électronique	courrier/n_électronique/a	courrier	électronique	12	4.5833	0.5149	4.6667	0.4924	4.6667	0.4924	courriel(7);email(6);e mail(3);mél(2);lettre(1);message numérique(1);correspondance tapée à l'ordinateur(1);message digital(1);lettre par ordinateur(1);documents envoyés électroniquement(1);message électronique(1);couriel(1);Émail(1)
court_circuit	court_circuit	court/a_circuit/n	circuit	court	14	3.1429	2.1070	1.0000	1.3009	1.3571	1.3927	court jus(4);electrocution(2);shunt(2);dérivation(2);mauvais connexion(1);danger(1);mauvais branchement électrique(1);problème électrique(1);coupure de circuit(1);surcharge(1);courant(1);défaut de l'isolement électrique(1);défaut(1);accident defavorable(1);fusible(1);courant de défaut(1);probleme(1);incident électrique(1);coupure sur le circuit électrique(1);pétage de plomb(1);accidentelle(1);flux(1);malfonctionnement électrique(1);reaction infavorable(1)
court_métrage	court_métrage	court/a_métrage/n	métrage	court	15	2.4667	1.7265	4.5333	0.7432	2.8667	1.5976	film court(7);petit film(5);film de courte durée(4);court(2);court film(2);film(2);film qui ne dure pas long(1);film dont la durée excède rarement vingt minutes(1);film amateur(1);film de 20 minutes ou moins(1);moins de trente minutes(1);bande annonce(1);metrage qui n'est pas long(1);film de durée réduite(1);mini film(1);film de durée de trente minutes(1)
crème_frais	crème_fraîche	crème/n_frais/a	crème	fraîche	14	4.7857	0.4258	3.6429	1.0818	3.7857	0.9750	crème pasteurisée(3);creme pour dessert(2);produit laitier(2);crème de lait(2);crème aigre(1);écrémage du lait(1);sous produit laitier(1);fleur de lait(1);mousse de lait(1);crème battue(1);blanc(1);crème crue(1);crème sure(1);ingredient(1);crème double(1);crème épaisse(1);sauce blanche(1);matière grasse du lait(1);crème fouettee(1);gras du lait(1);epaisse(1);crème amère(1);yaourt(1);matière grasse(1);crème blanche(1)
crème_glacé	crème_glacée	crème/n_glacé/a	crème	glacée	12	4.5000	0.5222	5.0000	0.0000	4.8333	0.3892	glace(6);lait glace(2);sorbet(2);tranche napolitaine(2);crème dessert(1);creme congelée(1);crème à la glace(1);crème(1);bombe glacée(1);dessert(1);cône(1);mousse(1);lait glacé(1);entremet(1);de la glace(1);dessert glacé(1)
dernier_cri	dernier_cri	dernier/a_cri/n	cri	dernier	12	0.1667	0.3892	3.0000	2.0000	0.6667	1.0731	à la mode(5);en vogue(5);nouveau(2);dernière tendance(1);nouveauté(1);nouvelle mode(1);dernière technologie(1);à la dernière mode(1);hi tech(1);succès récent(1);à la pointe(1);nec plus ultra(1);dernier sorti(1);mode(1);ultime(1);dérnière mode(1);moderne(1);dernière mode(1);tout nouveau(1);a la mode(1)
dernier_mot	dernier_mot	dernier/a_mot/n	mot	dernier	11	3.4545	1.0357	4.1818	0.7508	3.9091	0.7006	dernière parole(3);conclusion(3);mot de la fin(2);ultime concession(2);réponse définitive(2);décision(2);denier a parler(1);mot final(1);rien à ajouter(1);choix final(1);decision(1);parole finale(1);décision finale(1);finalité(1);dernier avis(1);decision finale(1);décret(1);gagner un argument(1)
directeur_général	directeur_général	directeur/n_général/a	directeur	général	13	5.0000	0.0000	3.8462	0.9871	4.0769	0.7596	chef d'entreprise(3);administrateur(3);pdg(3);gouverneur(3);patron(2);gérant(2);administrateur délégué(2);chef(2);directeur d'une organisation(1);president directeur général(1);proviseur(1);responsable general(1);dg(1);président(1);boss(1);président directeur(1);responsable(1);chief executive officer(1);chef de service(1)
disque_dur	disque_dur	disque/n_dur/a	disque	dur	14	4.2143	0.8926	2.0714	1.3281	2.5000	1.2860	disque rigide(3);mémoire de masse(2);disque fixe(2);disque magnétique(2);support de stokage magnétique de grande capacité(1);disque de données(1);disque de stockage(1);disque fix(1);mémoire(1);bureau(1);lecteur et enregistreur informatique(1);memoir(1);disque laser(1);appareil de stockage(1);dd(1);disque(1);disquette(1);disque pour ordinateur(1);stockage informatique(1);hd(1);stockage de masse(1);composant d'un ordinateur(1);lecteur(1);memoire pour ordinateur(1);disque électro magnétique(1);disque optique(1);hdd(1);mémoire d'ordinateur(1)
douche_froid	douche_froide	douche/n_froid/a	douche	froide	15	1.6000	1.8048	1.6667	1.7995	1.4667	1.8848	déconvenue(8);mauvaise surprise(7);déception(3);désillusion(2);perte d'illusion(1);choc(1);se baigner avec de l'eau froide(1);douche glacée(1);eau froide(1);accueil glacial(1);inattendue(1);désagréable surprise(1);se laver avec de l'eau froide(1);choc mental(1);surpnqnt(1);émoi(1);défaite(1);douche écossaise(1);étonnent(1);honte(1)
droit_fondamental	droit_fondamental	droit/n_fondamental/a	droit	fondamental	11	5.0000	0.0000	4.4545	1.0357	4.7273	0.6467	droits de l'homme(3);libertés fondamentales(2);privilège(2);droits élémentaires(1);droit irréfutable(1);droits essentiels(1);droit premier(1);droits primordiaux(1);droit naturel(1);droit absolu(1);droit innaliénable(1);laissez passer(1);dû(1);droits necessaires(1);droit imprescriptible(1);droit de vivre et autres necessites(1);principe de droit(1);droit constituionnel(1);droit individuel(1)
développement_économique	développement_économique	développement/n_économique/a	développement	économique	13	4.6923	0.4804	4.6923	0.4804	4.6154	0.5064	croissance économique(6);reprise économique(2);essor(2);évolution économique(1);developpement d'une ville(1);amélioration des conditions de vie(1);croître(1);prospérité(1);évolution positive(1);richesse(1);développement de l'economie(1);augmentation des richesses(1);mutations positives d'une zone geographique(1);évoluer(1);expansion économique(1);progression de l'économie(1);developpement de l'economie(1);projet de relance économique(1);avancés économiques(1);industrialisation(1);développement financier(1)
eau_chaud	eau_chaude	eau/n_chaud/a	eau	chaude	12	5.0000	0.0000	5.0000	0.0000	5.0000	0.0000	eau bouillante(5);eau chauffée(3);eau à haute température(2);eau tiède(2);lavure(1);liquide chaud(1);eau réchauffée(1);eau frémissante(1);eau bouillie(1);eau tempérée(1);eau à température élevée(1);eau brûlante(1);eau à température élevé(1);eau chauffer(1);flot(1);chauffage de l'eau(1)
eau_doux	eau_douce	eau/n_doux/a	eau	douce	13	5.0000	0.0000	2.0769	1.6053	2.2308	1.6408	eau non salée(8);eau de source(4);eau potable(3);eau des rivières et lacs(1);rivière(1);glacier(1);dulcicole(1);eau non saline(1);eau buvable(1);eau d'evier(1);eau de rivière(1);eau no salée(1);eau du lac ou fleuve(1);eau qui n'est pas de sel(1);eau consommable(1);eau qui gèle(1);eau continentale(1)
eau_minéral	eau_minérale	eau/n_minéral/a	eau	minérale	13	5.0000	0.0000	4.1538	1.0682	4.3846	0.9608	eau de source(6);eau naturelle(3);eau plate(3);eau de montagne(2);eau bicarbonatée(1);eau gazéifiée(1);eau de source de montagne(1);eau riche en sels minéraux(1);boisson(1);eaux de source(1);eau minéralisée naturellement(1);eau bonne à boire(1);eaux minérales(1);vichy(1);eau d'origine souterraine(1);eau qui contient des mineraux(1);eau en bouteille(1);eau gazeuse/plate(1);eau non gazeuse(1);eau qui contient des sels(1)
eau_potable	eau_potable	eau/n_potable/a	eau	potable	15	5.0000	0.0000	5.0000	0.0000	5.0000	0.0000	eau buvable(10);eau du robinet(4);eau de consommation(3);eau consommable(3);eau saine(2);consommable(1);eau fraiche(1);eau de boisson(1);eau consumable(1);flot(1);eau minérale(1);liquide buvable(1);eau q'on peut boire(1);eau propre(1);boisson(1);eau propre à la consommation(1);eau propre qu'on peut boire sans danger(1)
eau_vif	eau_vive	eau/n_vif/a	eau	vive	12	5.0000	0.0000	4.0833	0.9003	3.8333	1.0299	cours d'eau(3);rivière(2);eau tumultueuse(2);rapides(2);rapide(1);cascade(1);eau mouvante(1);torrents(1);eau qui coule de source(1);rivière rapide(1);eau d'une rivire ou d'un bassin artificiel(1);des eaux qui coulent de leurs sources(1);eaux tumultueuses(1);rivière agitée(1);eaux agitees(1);mouvement dans le cours d'une rivière(1);eau agitée(1);eau courante(1);intense(1);eau en mouvement(1);des eaux qui circulent dans la nature(1);vivante(1);eau rapide(1)
