compound_lemma	compound_surface	compound_lemmapos	headLemma	modifierLemma	nAnnot	avgHead	stdevHead	avgModifier	stdevModifier	compositionality	stdevHeadModifier	equivalents
critical_review	critical_review	critical/a_review/n	review	critical	17	4.7647	0.4372	3.3529	1.6934	4.0588	1.1440	critique(5);critical analysis(2);examination(2);analysis(2);thorough review(2);criticism(1);take a close look at(1);text evaluation(1);summary with comment(1);meaningful summary(1);important review(1);grading(1);review(1);assesment(1);peer review(1);evaluation(1);analytical review(1);negative review(1);scholarly review(1);critical cover(1);thoughtful review(1);report(1);tough review(1);academic review(1);in depth look(1);critical assessment(1);study review(1);intense scrutiny(1);critic's opinion(1);critical judgment(1);thorough assesment(1)
dead_end	dead_end	dead/a_end/n	end	dead	19	4.2105	1.1343	0.2632	0.7335	1.3158	1.4550	no outlet(6);cul de sac(4);no exit(2);no escape(1);no other street(1);no access(1);one way(1);ending(1);close(1);one way road(1);end(1);road end(1);roads end(1);road with one end(1);dud(1);point of no return(1);end of the road(1);checkmate(1);blind alley(1);closed off(1);without an outlet(1);road block(1);road's end(1);blocked in(1);end of the line(1);street ends(1);dead lead(1);standstill(1);impenetrable(1);end of road(1);blockage(1);roadblock(1);impasse(1)
dirty_money	dirty_money	dirty/a_money/n	money	dirty	19	4.1579	1.5728	1.8947	1.4489	2.2105	1.5121	drug money(5);money obtained illegally(2);stolen money(2);illegal money(2);criminal money(2);ill gotten gains(2);stolen(2);ill gained(1);illegal obtained money(1);unearned money(1);hidden funds(1);illegally earned tender(1);unethical money(1);laundered money(1);corrupt money(1);unlawful money(1);bad money(1);felonious profits(1);earned illegally(1);illegal gains(1);money laundering(1);ill got gains(1);illegal profit(1);dirty, as in tainted(1);dirty funds(1);embezzled(1);counterfeit money(1);illegally gained money(1);crime money(1);criminally earned cash(1);stolen property(1);hot money(1);ponzi scheme(1);bribe(1);loot(1);pilfered funds(1)
dirty_word	dirty_word	dirty/a_word/n	word	dirty	21	4.1429	1.4243	2.0000	1.3784	2.4762	1.7210	curse word(7);cuss word(4);taboo(4);bad word(4);swear word(3);foul language(3);profanity(3);cursing(2);off limit word(1);expletitive(1);expletive(1);obscene(1);unpleasant option(1);curse(1);inappropriate word(1);bad language(1);insult(1);profainity(1);bad worse(1);word you don't want to mention(1);off limits(1);gutter talk(1);naughty word(1);bad words(1);curse words(1);inappropriate language(1);swer word(1);swear(1);words not said(1);unattractive word(1);taboo subject(1);gross word(1)
disc_jockey	disc_jockey	disc/a_jockey/n	jockey	disc	20	1.0000	1.5218	2.5500	1.7313	1.2500	1.4096	dj(11);deejay(2);music player(2);entertainer(2);master of ceremonies(1);person who plays music(1);music radio host(1);record player(1);music maker(1);music host(1);radio personality(1);mastet of ceremony(1);music(1);party(1);announces music played(1);spin doctor(1);musician(1);radio performer(1);dic spinner(1);disc spinner(1);host(1);music playing host(1);dee jay(1);record spinner(1);music spinner(1);radio station employee(1);mc(1);artist(1);presenter(1);broadcaster(1);music mixing proffesional(1);disc scratcher(1);emcee(1)
divine_service	divine_service	divine/a_service/n	service	divine	19	3.7368	1.1945	4.0000	1.3744	3.1053	1.5949	church service(11);mass(7);religious service(3);worship(3);eucharistic liturgy(2);church(2);ceremony(1);christian cult(1);prayer service(1);worship service(1);religious meeting(1);gathering of christians(1);lutheran eucharist mass(1);spiritual meeting(1);sabbath(1);divine calling(1);sermon(1);serving of god(1);ceremony to divinity(1);worshipping for god(1);easter service(1)
dry_land	dry_land	dry/a_land/n	land	dry	20	4.8500	0.3663	3.8500	1.4965	3.9500	1.2344	land(5);soil(4);ground(4);earth(3);dry ground(2);dessert(2);arid land(2);not water(2);cracked land(1);terrain(1);surface(1);unfarmable land(1);on the ground(1);dry dock(1);continent(1);terrestrial(1);dry habitat(1);dry area(1);land without water(1);landlocked area(1);not wet land(1);dessert land(1);dry environment(1);not in water(1);desert(1);shore line(1);island(1);high and dry(1);shore(1);dry earth(1);dry terrain(1);turf(1)
dry_wall	dry_wall	dry/a_wall/n	wall	dry	18	4.5556	0.9218	3.5000	1.5049	3.3333	1.6450	wallboard(4);plaster board(3);plaster(3);plasterboard(3);wall(2);sheet rock(2);plaster wall(2);stone wall(2);wall board(2);insolation(1);gypsum(1);wall covering(1);dry sheet rock(1);foundation(1);gypsum wall(1);sheetrock(1);building wall(1);putty(1);masonry(1);panelling(1);cover(1);concrete(1);siding(1);sheet board(1);building material(1)
dust_storm	dust_storm	dust/a_storm/n	storm	dust	20	3.9500	1.4681	4.2000	1.4726	3.8500	1.5985	sand storm(7);dust cloud(4);sandstorm(4);haboob(3);dust devil(3);desert storm(2);dust bowl(2);dirty wind(1);dirty wind storm(1);sand fog(1);sand flying(1);wind dust storm(1);flying debris(1);cyclone(1);kicking up dust(1);tornadoe(1);blowing dirt(1);dusty wind(1);strong winds(1);dusty wind gusts(1);dust tornado(1);dust wind storm(1);simoom(1);duster(1);dust wind(1)
eager_beaver	eager_beaver	eager/a_beaver/n	beaver	eager	22	0.1818	0.6645	4.4091	1.2212	0.3636	0.7895	eager person(5);go getter(4);enthusiastic person(3);excited(2);enthusiastic(2);impatient person(2);someone can't wait(1);dedicated(1);chomping at bit(1);person ready to do something(1);hardworking(1);eager worker(1);good worker(1);eager to do something(1);overly zealous(1);motivated person(1);anxious(1);helpfull person(1);very enthusiastic(1);well prepared(1);doer(1);busy bee(1);hard worker(1);busybody(1);zealous person(1);motivated(1);can't wait to do something(1);impulsive(1);driven(1);overly ready(1);excited person(1);fan(1);interestd(1);restlessly eager(1);someone who is excited(1);excited worker(1);impatient(1);serious(1);active person(1);hard hitter(1);self starter(1)
economic_aid	economic_aid	economic/a_aid/n	aid	economic	18	4.3333	0.6860	4.1111	1.0786	4.3333	0.8402	financial aid(6);money(4);help(2);welfare(2);assistance(2);monetary assistance(2);economic assistance(2);stimulus(2);distribution of cash(1);economic relief(1);free money(1);economic help(1);college tuition(1);foreign aid(1);financial assistance(1);funding(1);financial help(1);financial support(1);economic recovery(1);relief funds(1);economic incentives(1);money help(1);monetary gift(1);monetary aid(1);charity(1);economic transaction(1);economic support(1)
elbow_grease	elbow_grease	elbow/a_grease/n	grease	elbow	18	0.1667	0.5145	0.9444	0.8726	0.5556	0.7048	hard work(11);effort(7);strength(2);exertion(2);physical effort(2);work(2);vigor(1);force(1);one's own sweat(1);hard manual labor(1);try harder(1);physical labor(1);extra effort(1);more work(1);application of force(1);diligence(1);endurance and dilligence(1);arm movements(1);trying(1);man power(1);brute force(1);back into it(1)
elbow_room	elbow_room	elbow/a_room/n	room	elbow	23	0.6957	1.2590	1.3913	1.4378	0.6087	0.9409	space(11);leeway(6);breathing room(4);personal space(4);wiggle room(3);opportunity(3);room(3);breathing space(2);elbow space(1);leverage(1);free space(1);places to move(1);personal room(1);open negotiation(1);latitude(1);buffer(1);possible(1);extra space(1);territorial bubble(1);time and occasion(1);freedom(1);area(1);place(1);personal bubble(1);margin(1);allowance(1)
entrance_hall	entrance_hall	entrance/a_hall/n	hall	entrance	18	3.8333	1.2005	4.7778	0.4278	4.1667	1.0432	foyer(9);lobby(6);formal entrance(2);entryway(2);grand hall(2);entrance room(2);entrance(2);entry(2);entry hall(1);atrium(1);main entrance(1);front area(1);hallway(1);large entrance(1);main hall(1);reception area(1);front(1);waiting room(1);front hall(1);great hall(1);entry way(1);doorway(1);vestibule(1);entranceway(1)
eternal_rest	eternal_rest	eternal/a_rest/n	rest	eternal	20	2.4500	1.4318	4.3000	1.5594	3.2500	1.6504	death(14);end of life(3);final rest(2);afterlife(2);eternal sleep(2);heaven(2);burial place(1);long rest(1);big sleep(1);shuffling off of the mortal coil(1);dying(1);transitioning to god(1);gone to the farm(1);peaceful afterlife(1);6 feet under(1);after life(1);rest in peace(1);peaceful slumber(1);heavenly peace(1);demise(1);pushing up daisies(1);coma(1);died(1);dirt nap(1);heavenly trip(1);final sleep(1);tomb(1);eternal peace(1)
fish_story	fish_story	fish/a_story/n	story	fish	19	4.8421	0.3746	1.5263	1.8369	1.6842	1.7655	tall tale(6);exaggerated story(3);fish tale(3);exaggeration(3);tale(3);lie(2);fiction story(1);fishing tale(1);far fetched story(1);event(1);make believe story(1);story(1);big lie(1);white lie(1);fishy, as in doubtful(1);incredible(1);trumped up story(1);falsehood(1);hyperbole(1);extraggerated story(1);imbellished story(1);big story(1);overstatement(1);tall tell(1);ocean tales(1);false story(1);story about a fish(1);yarn(1);exaggorated story(1);smells fishy(1)
flower_child	flower_child	flower/a_child/n	child	flower	20	0.6500	0.8127	1.1000	0.7881	0.5000	0.6882	hippie(14);free spirit(8);hippy(4);bohemian(2);pacifist(2);stoner(1);peacenik(1);nonconformist(1);wanderer(1);yuppie(1);peaceful person(1);moon child(1);idealist(1);beatnik(1);bum(1);hippies(1);long hair(1);peace demonstrator(1);pot smoker(1);simple person(1);happy without goals(1);careless(1)
food_market	food_market	food/a_market/n	market	food	17	3.9412	1.2976	4.5294	1.2805	3.8235	1.6292	grocery store(5);food sector(3);supermarket(2);farmers' market(2);nutrition choice(1);commercial market(1);food trade(1);market place(1);market(1);food store(1);food arena(1);alimentary channels(1);mart(1);grocer(1);food business(1);produce market(1);cashier(1);farmers market(1);food commodities(1);food mart(1);grocery(1);stock market(1);food industry(1);grocery stores(1);grocery market(1);farmer's market(1)
foot_soldier	foot_soldier	foot/a_soldier/n	soldier	foot	19	3.3684	1.9210	1.3158	1.3355	1.9474	1.2681	infantry(6);infantryman(4);worker(3);soldier(3);grunt(2);newbie(1);pawn(1);average fighter(1);bottom of to dam pole(1);private(1);low level(1);subordinate(1);ground soldier(1);newb soldier(1);common soldier(1);worker bee(1);recruit soldier(1);infantrymen(1);warrior(1);fodder(1);front man(1);foot work(1);peasant(1);representative(1);ground troops(1);low level worker(1);proletriat(1);infantry soldier(1);army man(1);drone(1);ground troop(1);peon(1)
front_man	front_man	front/a_man/n	man	front	22	1.5909	1.8168	2.4545	1.5032	1.6364	1.4653	leader(11);representative(5);spokesman(3);lead singer(3);singer(3);lead man(2);speaker(2);figure head(2);nominee(1);image(1);agent(1);point man(1);lead speaker(1);lead representative(1);person interacting with audience(1);organization head(1);head(1);conductor(1);figurehead(1);boss(1);head man(1);group leader(1);center(1);spokesperson(1);celebrity(1);cover(1);face(1);poster boy(1);face of product or company(1)
goose_egg	goose_egg	goose/a_egg/n	egg	goose	21	0.5714	0.9258	0.3810	0.7400	0.4762	0.8136	bump(12);lump(7);knot(7);swelling(4);bruise(4);pimple(2);swollen injury(1);large bump(1);null(1);bird egg(1);loosing score(1);egg from a goose(1);temporary bump(1);blackhead(1);injury(1);boil(1);sore spot(1);swollen area(1)
grey_matter	grey_matter	grey/a_matter/n	matter	grey	18	3.4444	1.2472	2.2222	1.0603	2.3889	1.3346	brain(12);intelligence(4);mind(3);brains(3);brain matter(2);cerebrum(2);thinking(2);head(2);brain tissue(2);brain cells(1);iq(1);body of cells(1);brain power(1);creativity(1);memory(1);use your head(1);brainpower(1);bean(1);noggin(1);right brain(1);noodle(1);thought process(1)
guinea_pig	guinea_pig	guinea/a_pig/n	pig	guinea	22	0.5455	0.8579	0.5455	0.8579	0.4545	0.9625	test subject(14);lab rat(4);tester(4);test dummy(2);experiment(2);experimenter(2);rodent(2);pin cushion(1);experimental test subject(1);first to try(1);sample(1);person for test(1);experimental participant(1);experimental subject(1);test animal(1);cavy(1);volunteer to try something new(1);experimentee(1);skinny pig(1);first one(1);go to(1);experimenting(1);lab animal(1);volunteer(1);early tester(1);lackey(1);practice subject(1);disposable person(1)
half_sister	half_sister	half/a_sister/n	sister	half	19	4.7895	0.6306	2.8421	1.6754	2.8421	1.3023	sibling(6);half sibling(5);sister(5);relative(3);step sister(2);half brother(1);one parent in common(1);step child(1);share one parent(1);half biological sister(1);not by blood(1);brother from another mother(1);half relation(1);partial family(1);half genetic sister(1);different father(1);stepsister(1);partial sibling(1);sibbling(1);same mother, different father(1);semi related female(1);same father, different mother(1);different mother(1);half related sister(1);partial sister(1);uterine sibling(1);sister from another parent(1)
half_wit	half_wit	half/a_wit/n	wit	half	19	1.2632	1.3267	1.3684	1.3000	1.1579	1.4245	idiot(8);nitwit(3);moron(3);dummy(3);stupid(3);dimwit(3);dumb(2);fool(2);nit wit(2);dunce(1);simple(1);non thinking person(1);blockhead(1);numbskull(1);soft headed(1);slow in wit(1);half intelligence(1);slow(1);village idiot(1);dim wit(1);handicap(1);goon(1);stupid man(1);dim person(1);retard(1);crock(1);imbecile(1);silly(1);foolish(1)
health_check	health_check	health/a_check/n	check	health	18	4.0556	1.3492	4.8889	0.3234	4.1667	0.9852	check up(7);physical(5);checkup(4);doctor visit(3);health evaluation(3);physical exam(2);regular examination(1);health screening(1);well visit(1);health check ups(1);doctors appointment(1);consultation(1);doctors visit(1);annual physical(1);medical exam(1);exam(1);health physical(1);wellness evaluation(1);routine exam(1);health examination(1);work up(1);health screenings(1);basic health evaluation(1)
high_life	high_life	high/a_life/n	life	high	18	3.0556	1.6968	2.0000	1.4552	1.6667	1.2834	good life(7);glamorous life(2);expensive(2);high society(2);oppulence(1);expensive lifestyle(1);indulgence(1);ritzy life(1);powerful(1);elegant(1);rich & famous(1);easy life(1);wealth(1);top(1);extravagence(1);indulgent living(1);rich(1);life on top(1);expensive tastes(1);luxurious(1);posh life(1);dolce vita(1);high on the hog(1);big life(1);wealthy living(1);elite(1);upper class(1);living it up(1);glory(1);rich lifestyle(1);happy life(1);high times(1);extravagent(1);hgh horse(1);lavish(1)
inner_circle	inner_circle	inner/a_circle/n	circle	inner	18	1.1111	1.2314	3.1667	1.3394	1.5556	1.4234	club(3);close friends(3);inner group(2);inner sanctum(2);in crowd(2);close associates(2);who we hangout with regularly(1);cabal(1);secretive(1);most intimate friends(1);braintrust(1);associates(1);inside group(1);private circle(1);trusted(1);inner friends(1);sacred few(1);advisers(1);crew(1);closest relationships(1);squad(1);lodge(1);chosen few(1);accointances(1);infrastructure(1);closest confidantes(1);close together(1);people in the know(1);close people(1);special people(1);private group(1);close knit(1);tight knit(1);tightest circle(1);trusted circle(1)
inner_product	inner_product	inner/a_product/n	product	inner	15	3.8000	1.7403	3.1333	1.6417	3.0000	1.6903	scalar product(5);dot product(5);calculation(1);scalar function of 2 vectors(1);multiplication(1);measure of inside angle(1);numerical expression(1);result(1);matrix value(1);scalar function(1);middle multiple(1);answer(1);vector expression(1);inside solution(1);variable(1);integer(1);central numerals(1);product of magnitude between 2 vectors(1);math expression(1);inner multiples(1);equation(1);vectors(1);product of matrix multiplication(1);algebraic operation(1);middle product(1)
insane_asylum	insane_asylum	insane/a_asylum/n	asylum	insane	20	3.8500	1.2258	4.1500	1.2258	3.9500	1.0990	mental hospital(7);loony bin(5);mental institution(5);psychiatric hospital(3);mental health facility(2);looney bin(2);sanitorium(2);crazy house(2);mad house(2);nut house(1);committed(1);loonie house(1);psychiatric institutions(1);psych ward(1);asylum(1);mental intuition(1);rehabilitation center(1);mental health institute(1);madhouse(1);psychiatric dwelling(1);institution(1);mental insitution(1);crazy farm(1);crazy asylum(1);insane hospital(1);instituionalized(1)
insurance_company	insurance_company	insurance/a_company/n	company	insurance	18	4.8889	0.4714	5.0000	0.0000	5.0000	0.0000	insurance provider(6);insurer(4);insurance firm(4);insurance business(2);insurance carrier(1);guarantor of payment(1);accident payee(1);premium seller(1);protection provider(1);insurance(1);risk pooler(1);catastrophe bank(1);policy company(1);lifeguard office(1);adjustment bureau(1);provider(1);big company(1);policy maker(1);insurance broker(1);coverage(1);insurance agent(1);risk protection(1);insurance supplier(1);insurance place(1);company paying for accident(1);policy holder(1);lien company(1)
insurance_policy	insurance_policy	insurance/a_policy/n	policy	insurance	20	4.0000	1.4142	4.5000	1.2354	4.1500	1.3089	insurance plan(3);safety net(3);coverage(3);insurance document(2);insurance coverage(2);insurance(2);protection policy(2);policy(2);insurance contract(2);protection(2);safeguard(2);warranty(1);safety policy(1);insurance papers(1);healthcare coverage(1);disaster relief(1);security option(1);liability policy(1);backup plan(1);booklet(1);agreement for someone else to cover the cost of an unlikely possibility(1);agreement with insurance company(1);property protection service(1);insurance statement(1);funds(1);investment policy(1);contract to have a risk underwritten by another party(1);just in case(1);contingence policy(1);uneeded costs(1);policy against loss(1);uneccessary liability(1);insured liability(1)
iron_collar	iron_collar	iron/a_collar/n	collar	iron	16	4.1250	1.4549	3.9375	1.2894	3.8750	1.2042	metal collar(3);chains(3);punishment collar(3);shackle(2);iron ring(2);restraint(2);jelwelry(1);iron bond(1);iron bit(1);iron band(1);neck brace(1);iron cuff(1);cuffs(1);manacle(1);metal neck band(1);strong(1);slave collar(1);strength(1);iron neck restraint(1);execution(1);clad(1);metal band(1);ring collar(1);iron choker(1);capital punishment(1);necklace(1);iron neckbond(1);metal neck brace(1)
labour_union	labour_union	labour/a_union/n	union	labour	17	4.8824	0.3321	4.7647	0.4372	4.7647	0.4372	union(4);organized labor(4);workers union(3);worker's union(3);workers organization(2);labor organization(2);trade union(2);work union(2);cooperative(1);workmen's union(1);committee(1);organization of solidarity among a group of workers(1);worker representatives(1);bloc or unit of collective bargaining, of workers(1);professional organization(1);labor group(1);workers representative(1);unionized workers(1);guild(1);worker's association(1);workers defense(1);labour organization(1);organization(1)
life_belt	life_belt	life/a_belt/n	belt	life	19	3.1053	1.7287	3.3158	1.2933	2.8421	1.6754	flotation device(8);life saver(7);life preserver(4);life jacket(4);life vest(3);seatbelt(2);safety strap(1);flotation devise(1);floatation ring(1);buyoency device(1);buckle(1);life ring(1);floation device(1);flotation belt(1);harness(1);life preserver.(1);ski belt(1);life line(1);safety rope(1);buoy(1)
life_vest	life_vest	life/a_vest/n	vest	life	18	3.8333	1.2485	3.1667	1.5811	3.4444	1.4642	flotation device(10);life jacket(10);life preserver(9);floatation device(2);safety vest(2);life saver(1);inflatable jacket(1);life saving pinny(1);emergency vest(1);float(1);floatation vest(1);jacket(1);safety device(1);personal flotation device(1);buyoency device(1)
